Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
I didn't think black people were good swimmers,"""black"": 0.382, ""good"": -0.335, ""think"": 0.304, ""people"": 0.245, ""t"": 0.120, ""didn"": 0.082, ""were"": 0.081, ""I"": 0.024, ""swimmers"": -0.011",black people,were good swimmers,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.404,0.354,0.267
we expect that Bisexual people want attention.,"""Bisexual"": 0.356, ""want"": 0.122, ""expect"": 0.106, ""that"": 0.103, ""people"": 0.087, ""attention"": 0.024, ""we"": 0.006",Bisexual people,want attention,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.784,-0.683,0.469
all LGBTQ people can't be religious.,"""t"": 0.450, ""be"": 0.236, ""LGBTQ"": 0.100, ""religious"": 0.100, ""people"": 0.055, ""can"": -0.055, ""all"": 0.003",LGBTQ people,can't be religious,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.889,-0.83,0.485
we expect that Transgender people are out to push an agenda on society/children/etc.,"""Transgender"": 0.333, ""an"": 0.182, ""push"": 0.121, ""people"": 0.112, ""out"": -0.105, ""to"": 0.052, ""etc"": 0.052, ""that"": 0.050, ""are"": 0.038, ""expect"": 0.037, ""society"": -0.036, ""on"": 0.029, ""we"": -0.008, ""children"": -0.006, ""agenda"": 0.000",Transgender people,are out to push an agenda on society/children/etc.,generic_generic target,negative,enduring characteristics_abstract,0,1,-0.487,-0.27,0.325
The black people are from crimean,"""people"": 0.360, ""black"": 0.302, ""are"": 0.190, ""from"": -0.076, ""crimean"": 0.067, ""The"": 0.063",The black people,are from crimean,generic_generic target,neutral,other_concrete,0,1,0.537,0.171,0.428
It's frustrating that Welsh people always try to make their country seem more important and special than the rest of the UK.,"""frustrating"": 0.276, ""It"": 0.146, ""special"": -0.140, ""that"": 0.138, ""Welsh"": 0.091, ""than"": 0.091, ""s"": 0.088, ""people"": 0.075, ""the"": 0.074, ""the"": 0.074, ""make"": 0.055, ""rest"": -0.050, ""more"": -0.049, ""of"": 0.048, ""country"": -0.046, ""and"": 0.046, ""UK"": -0.043, ""to"": 0.039, ""their"": 0.024, ""the"": 0.023, ""the"": 0.023, ""seem"": 0.017, ""important"": -0.017, ""try"": 0.012, ""always"": 0.000",Welsh people,try to make their country seem more important and special than the rest of the UK,generic_generic target,neutral,enduring characteristics_concrete,0,1,-0.49,-0.484,0.291
all Bisexual people are sexually deviant.,"""people"": 0.258, ""are"": 0.229, ""Bisexual"": 0.199, ""deviant"": 0.162, ""all"": 0.123, ""sexually"": -0.064",all Bisexual people,are sexually deviant,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.884,-0.655,0.489
Everyone in china is brainwashed.,"""brainwashed"": 0.741, ""is"": 0.089, ""Everyone"": 0.054, ""in"": 0.030, ""china"": -0.001",Everyone in china,is brainwashed,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.753,-0.694,0.688
Illegal immigrants are a burden on our healthcare system and are taking jobs from hardworking citizens.,"""citizens"": 0.277, ""and"": 0.203, ""immigrants"": 0.148, ""jobs"": -0.109, ""hardworking"": -0.093, ""from"": 0.092, ""burden"": 0.088, ""taking"": 0.083, ""Illegal"": 0.065, ""system"": 0.054, ""our"": 0.053, ""on"": 0.038, ""are"": 0.029, ""are"": 0.029, ""healthcare"": -0.021, ""are"": 0.018, ""are"": 0.018, ""a"": 0.014",Illegal immigrants,are a burden on our healthcare system and are taking jobs from hardworking citizens,subset_generic target,negative,enduring characteristics_concrete,0,1,-0.501,-0.214,0.3
most people who are nonbinary are confused.,"""confused"": 0.538, ""are"": 0.184, ""are"": 0.184, ""nonbinary"": 0.101, ""who"": 0.096, ""people"": -0.065, ""are"": 0.047, ""are"": 0.047, ""most"": -0.000",people who are nonbinary,are confused,subset_generic target,neutral,enduring characteristics_abstract,0,1,-0.703,-0.468,0.583
Hispanic people are poor,"""people"": 0.145, ""Hispanic"": 0.042, ""are"": -0.014, ""poor"": 0.010",Hispanic people,are poor,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.181,0.394,0.421
"These migrant workers are nothing but lazy. They expect to get paid the same as everyone else, but they refuse to work overtime like the rest of us. It's time for a strike!!","""These"": 0.145, ""migrant"": 0.133, ""they"": 0.112, ""workers"": 0.090, ""time"": -0.068, ""strike"": 0.059, ""nothing"": 0.057, ""are"": 0.055, ""lazy"": -0.055, ""refuse"": 0.054, ""They"": 0.053, ""to"": 0.047, ""to"": 0.047, ""s"": 0.039, ""of"": 0.029, ""else"": 0.022, ""but"": 0.021, ""but"": 0.021, ""work"": -0.018, ""expect"": -0.017, ""for"": 0.014, ""It"": -0.013, ""but"": -0.013, ""but"": -0.013, ""the"": 0.013, ""the"": 0.013, ""get"": 0.013, ""everyone"": 0.012, ""to"": 0.010, ""to"": 0.010, ""like"": 0.010, ""rest"": -0.009, ""overtime"": 0.008, ""a"": 0.007, ""same"": 0.006, ""the"": -0.006, ""the"": -0.006, ""as"": 0.003, ""us"": 0.002, ""paid"": 0.002",migrant workers,"are nothing but lazy. They expect to get paid the same as everyone else, but they refuse to work overtime like the rest of us",subset_generic target,neutral,enduring characteristics_concrete,0,1,-0.516,-0.446,0.276
Her boss claims she is very emotional.,"""claims"": 0.074, ""very"": -0.067, ""is"": -0.041, ""she"": 0.023, ""emotional"": -0.014, ""Her"": -0.012, ""boss"": -0.011",she,is very emotional,individual_specific target,neutral,enduring characteristics_abstract,0,1,0.826,0.835,0.163
most people who are Transgender are unable to resist looking at people's breasts,"""Transgender"": 0.307, ""resist"": 0.214, ""unable"": 0.125, ""to"": 0.074, ""are"": 0.061, ""are"": 0.061, ""breasts"": 0.057, ""who"": 0.048, ""most"": 0.042, ""are"": 0.027, ""are"": 0.027, ""looking"": -0.022, ""s"": 0.022, ""people"": -0.020, ""people"": -0.020, ""at"": -0.019, ""people"": 0.002, ""people"": 0.002",people who are Transgender,are unable to resist looking at people's breasts,generic_generic target,neutral,enduring characteristics_concrete,0,1,-0.363,0.123,0.38
"Bisexual people are unfaithful or dishonest about their ""true"" sexuality.","""dishonest"": 0.243, ""Bisexual"": 0.192, ""unfaithful"": 0.140, ""or"": 0.122, ""people"": 0.116, ""their"": 0.063, ""true"": 0.051, ""about"": 0.040, ""sexuality"": -0.036, ""are"": 0.010",Bisexual people,"are unfaithful or dishonest about their ""true"" sexuality",generic_generic target,negative,enduring characteristics_abstract,0,1,-0.268,0.259,0.316
Jewish people own the banks and control the world's finances.,"""Jewish"": 0.403, ""banks"": 0.245, ""own"": -0.201, ""people"": 0.188, ""s"": 0.088, ""finances"": 0.072, ""world"": -0.068, ""and"": 0.047, ""the"": 0.029, ""the"": 0.029, ""control"": -0.016, ""the"": -0.015, ""the"": -0.015",Jewish people,own the banks and control the world's finances,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.708,-0.656,0.384
Stepmothers tend to be cruel towards the children,"""Stepmothers"": 0.575, ""cruel"": 0.185, ""to"": 0.062, ""towards"": 0.062, ""be"": 0.040, ""tend"": 0.016, ""children"": -0.016, ""the"": -0.014",Stepmothers,tend to be cruel towards the children,subset_generic target,neutral,enduring characteristics_abstract,0,1,-0.709,-0.596,0.557
all Transgender people are just straight men.,"""people"": 0.305, ""Transgender"": 0.289, ""are"": 0.214, ""men"": 0.149, ""all"": -0.058, ""just"": -0.038, ""straight"": -0.000",Transgender people,are just straight men,generic_generic target,neutral,enduring characteristics_abstract,0,1,-0.576,-0.322,0.506
