has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence,bws
yes,a basic black,yes,didn't want to be a dad but only wanted to have sex with everyone,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract,He was a basic black that didn't want to be a dad but only wanted to have sex with everyone.,0.3463938042284727
yes,Black people,yes,are much more likely to commit violent crimes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people are much more likely to commit violent crimes.,0.4158486906252299
yes,blacks,yes,have such rhythm and grace when it comes to music and socializing,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,It’s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,0.063553862987129
yes,a black kid,yes,walked by with a stolen bike,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,A black kid walked by with a stolen bike as she looked out.,0.0885872185090613
yes,those filthy blacks,yes,were killed by them,yes,yes,specific target,negative,noun,subset,other,not-applicable,not-applicable,He assumed they were killed by those filthy blacks.,0.0744693457540651
yes,a black man,yes,had attacked her on her way home,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,the girl was sprawled out and it was obvious a black man had attacked her on her way home.,0.2932673448541504
yes,Black people,yes,will steal anything,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Black people will steal anything,0.358993959634223
yes,Black people,yes,"have no clue what a horse is, they only ride stolen bicycles",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"Black people have no clue what a horse is, they only ride stolen bicycles.",0.3939476194993108
yes,Black people,yes,become power-hungry when they get in positions of power,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people become power-hungry when they get in positions of power.,0.3990442895376964
yes,the new black boy,yes,couldn't do anything right,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,He blamed it on the new black boy who couldn't do anything right.,0.3896967639310993
yes,the blacks,yes,hated by the police,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,abstract,The police have always hated the blacks in this neighborhood.,0.3777044936484349
yes,black people like him,yes,"just want to get high, and nothing else",yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract,"His eyes were always red, probably because black people like him just want to get high, and nothing else.",0.1878173455186146
yes,he is black,yes,i feel uneasy because he is black,yes,yes,specific target,neutral,other,individual,situational behaviour,negative,concrete,i feel uneasy because he is black,0.3416457698519325
yes,Black people,yes,"have no interest in photography, only in drugs and sex and killing",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"Black people have no interest in photography, only in drugs and sex and killing.",0.2872891449026591
yes,Black people,yes,aren't good at chess because they don't like to go to school and study,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Black people aren't good at chess because they don't like to go to school and study.,0.3934733335113628
yes,a black man,yes,had been beaten up because he was a black man,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Johnny had been beaten up because he was a black man.,0.3028070414763426
yes,Blacks,yes,never listen to their parents,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Blacks never listen to their parents.,0.4075074829114167
yes,a black man,yes,he was black and did not think he would get sunburn,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,He did not think he would get sunburn because he was black,0.1233528000024876
yes,a black man,yes,shot her,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,"One day Joanne was having fun, but a black man shot her.",0.2208778654010711
yes,black kids,yes,have fathers in their lives,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"Erik wanted to camp with his dad, but he couldn't because no black kids have fathers in their lives.",0.3074575263006462
yes,black people,yes,commit more crimes,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The reason there are more black people in jail are because they commit more crimes.,0.3865377637968588
yes,African countries,yes,are known for being violent,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,African countries are known for being violent.,0.2154257506062886
yes,the black community,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,Dan decided to wear his cap backwards to appeal to the black community.,0.2678782373453706
yes,the black boy,yes,was using the dog in an illegal dogfighting ring,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",0.412023646325238
yes,a lazy black person,yes,not-applicable,yes,yes,generic target,negative,noun,subset,not-applicable,not-applicable,not-applicable,"No, admitted Tuppence, I haven't met a lazy black person, but I know some one who has.",0.337212622254305
yes,the black men,yes,jumped out of the darkness,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,Not fearing violence the black men jumped out of the darkness.,-0.1029186025820367
yes,Blacks,yes,have too much confidence,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Blacks have too much confidence to feel that way.,0.305091717925384
yes,they,yes,they are black,yes,yes,specific target,neutral,pronoun,individual,other,not-applicable,not-applicable,Kate and her friend Liz were planning a trip. They weren't allowed to go to Vegas because they are black.,0.1991529484540102
yes,black people,yes,dancing wildly in the street,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,The movie showed scenes of black people dancing wildly in the street.,0.371658866891992
yes,Jeremy is black,yes,Ben's mom said no because Jeremy is black,no,yes,specific target,neutral,other,individual,other,not-applicable,not-applicable,Ben's mom said no because Jeremy is black,0.2520010941965755
yes,The black kid,yes,knew where his mother hid her extra cash and stole it,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. The black kid knew where his mother hid her extra cash and stole it.,0.1273725830680457
yes,African children,yes,are likely to be starving youth,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,African children are likely to be starving youth.,0.1071417292329293
yes,Black people,yes,could knock anyone out with their fist,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Black people could knock anyone out with their fist.,0.3627223827978882
yes,the majority,yes,"were black, could even read it",yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,"He sent the message to his city, but the majority there were black so he was worried if they could even read it.",0.1056926629058598
yes,african people,no,are black,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Most african people are black,0.1674173297563089
yes,Those black people,yes,are always stealing stuff,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,Those black people are always stealing stuff.,0.1964424070629498
yes,Black people,yes,are less intelligent than white people and this is why they became slaves,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Black people are less intelligent than white people and this is why they became slaves.,0.0726634604605597
yes,The arab,yes,was a muslim in religion,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,The arab was a muslim in religion.,0.1402085183431831
yes,arab,no,not-applicable,no,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,The people of yemen are arab,-0.105247569671372
yes,Arab religion,yes,inspires extremism,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Arab religion inspires extremism,0.2983812437686591
yes,these terrorists are arab,yes,are terrorists,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,abstract,A lot of these terrorists are arab,0.3557873343891213
yes,The arab,yes,had extreme views about society,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The arab had extreme views about society.,0.1439578229507565
yes,Arab,yes,is a very dangerous country,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Arab is a very dangerous country.,0.2184270663130794
yes,Arab people,yes,are associated with war,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Arab people are associated with war.,0.331559555686631
yes,That arab man,yes,is always wearing a turban,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,That arab man down the street is always wearing a turban.,0.2564315386340102
yes,an arab,yes,they are a towelhead,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"When i see an arab, i think they are a towelhead.",0.4187176752913535
yes,The arab man,yes,is very evil,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The arab man is very evil,0.362313734494036
yes,The arab man,yes,is crazy,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The arab man is crazy.,0.2987161867303951
yes,Arab people,yes,are rich,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Arab people are rich,0.2341192281936014
yes,Saudi arabians,yes,are usually muslim,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,Saudi arabians are usually muslim.,0.0540075955832905
yes,the arab woman,yes,was religious,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract,The arab woman was religious,0.0617621286144836
yes,The arab people,yes,are always quite violent to strangers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The arab people are always quite violent to strangers.,0.3278939939823803
yes,you're arab,yes,must be religious,yes,yes,generic target,neutral,other,generic,enduring characteristics,neutral,abstract,If you're arab then you must be religious.,0.2033189943179755
yes,an arab,yes,can sometimes be a terrorist,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,An arab can sometimes be a terrorist.,0.2775967699804428
yes,Arabs,yes,smell bad,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,Arabs always smell bad.,0.3923030443605522
yes,a saudi arabian,yes,has a stereotype of not being poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Being a saudi arabian has a stereotype of not being poor.,0.0945378684250698
yes,arab people,yes,are very radical,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Many believe that arab people are very radical.,0.3663393688886461
yes,arab,yes,is always a terrorist,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,And arab is always a terrorist.,0.3158960351399883
yes,impoverished people,not-applicable,impoverished,not-applicable,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Somalia has mostly impoverished people.,0.1006586761389161
yes,people from somalia,yes,are starving,yes,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete,Lots of people from somalia are starving,0.0605479261555703
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Somalia is a dangerous country due to dangerous groups that exist in the country.,0.1012532021150869
yes,muslim people,yes,primarily muslim people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Somalia is a land of primarily muslim people.,-0.0950527333186761
yes,people within their country,yes,uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Somalia has many uneducated people within their country.,0.301681460139276
yes,the men in somalia,yes,are nomadic,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,abstract,Many of the men in somalia are nomadic.,0.0130404980901664
yes,That person from somalia,yes,is poor,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,That person from somalia is poor.,0.1029389151981452
yes,The oppressed women of somalia,yes,are the bedrock of the families,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The oppressed women of somalia are the bedrock of the families.,-0.5573855000023119
yes,People from somalia,yes,become pirates,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,People from somalia become pirates.,0.2882725611540975
yes,a person from somalia,yes,they're likely a pirate,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,"If you meet a person from somalia, they're likely a pirate.",0.4313121528374279
yes,Everyone in somalia,yes,is poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Everyone in somalia is poor,0.2388310662019662
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Somalia is a dangerous place to live.,0.1068466357683806
yes,The people of somalia,yes,are pirate,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,The people of somalia are pirate.,0.0983854658840568
yes,People from somalia,yes,have dark skin,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,People from somalia have dark skin.,0.0993781468355165
yes,people from syria,yes,are aggressive,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Most people from syria are aggressive.,0.1806415837020397
yes,The people of syria,yes,are conservative,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,The people of syria are conservative.,0.1630990304165716
yes,the women in syria,yes,seem repressed,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Many of the women in syria seem repressed.,0.0272825213477196
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Discussions on the syria subreddit are always filled with combative dialogue from locals.,0.0296748466590862
yes,The young syrian man,yes,was violent,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The young syrian man was violent.,0.2753808515334242
yes,People living in syria,yes,just want to be violent,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,People living in syria just want to be violent,0.3584867789464844
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Syria is extremely dangerous.,0.099591711806481
yes,ghanaian,yes,are tribal,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Most ghanaian are tribal.,0.1353277284160482
yes,ghanaians,yes,have been criminals,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Many ghanaians i've met have been criminals.,0.4130498693190426
yes,the dangerous people,yes,are ghanaian,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract,The dangerous people are ghanaian,0.2050891904560623
yes,Ghanaian people,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Ghanaian people are poor,0.0675431260067396
yes,The ghanaian people,yes,are very tall,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,The ghanaian people are very tall.,0.0628563426616695
yes,People of ghanaian descent,yes,are seen as dangerous,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,People of ghanaian descent are seen as dangerous.,0.2543637751043455
yes,the native ghanaian,yes,spoke and thought about the world was dated,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The way the native ghanaian spoke and thought about the world was dated.,0.1757533714029631
yes,Ghanaian people,yes,are always poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Ghanaian people are always poor,0.0737549873406495
yes,a ghanaian,yes,was very fun,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,I met a ghanaian who was very fun,-0.24829337704422
yes,The ghanaian woman,yes,is athletic,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The ghanaian woman is athletic,-0.3342615229083682
yes,Hispanic people,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Hispanic people are poor,0.2753842050065269
yes,the hispanic,yes,was aggressive,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The hispanic was aggressive.,0.235770033594531
yes,Hispanic people,yes,are usually loud when they meet with their families,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Hispanic people are usually loud when they meet with their families.,0.1731288828932215
yes,hispanic culture,yes,essentially spanish in nature,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,It's better to consider hispanic culture as essentially spanish in nature.,0.266727928289444
yes,Hispanic people,yes,"are always misinformed, many people they are uneducated",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"Hispanic people are always misinformed, many people they are uneducated.",0.2721683756769194
yes,My friend who is hispanic,yes,likes spicy food,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,My friend who is hispanic likes spicy food.,-0.3472381954292717
yes,a hispanic friend,yes,is very poor,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,I have a hispanic friend that is very poor.,0.1025794869248872
yes,Hispanics,yes,tend to be catholic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Hispanics tend to be catholic.,0.0564383799729283
yes,Male managers,yes,are often strong in their leadership style,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Male managers are often strong in their leadership style.,0.1698894711478379
yes,A mother,yes,is caring,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,A mother is caring,-0.5106650192199843
yes,the schoolboy,yes,was very mischevious,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The schoolboy was very mischevious.,-0.0135809978409387
yes,The mansplaining male,yes,showed us how to cut the grass,yes,yes,specific target,negative,noun,subset,situational behaviour,neutral,concrete,The mansplaining male showed us how to cut the grass.,0.0537851357480204
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"She would go on talking to anyone who listened. She just never stopped. Even if you didn't ask for it, she'd let you know exactly how she felt.",-0.0648619934916152
yes,The mommy,yes,was extremely loving,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,The mommy was extremely loving and it showed.,-0.3748921662935158
yes,women,yes,cared about their looks,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,The zumba class was filled with women who cared about their looks.,-0.0103149994819816
yes,his wife,yes,to wash the dishes,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,It was his wife's duty to wash the dishes.,0.1042637308463628
yes,The kind gentlemen,yes,started the festivities,yes,yes,generic target,positive,noun,generic,situational behaviour,positive,concrete,The kind gentlemen started the festivities.,-0.2928596812140323
yes,sober girls,yes,not-applicable,yes,yes,generic target,neutral,noun,subset,other,not-applicable,not-applicable,"I'm sorry, but the night club isn't a place for sober girls.",0.2749214150540736
yes,The mother,yes,takes care of the children at home,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,concrete,The mother takes care of the children at home.,-0.1214109948986676
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,She found herself excelling in psychology because she was so emotional.,-0.0219604811978317
yes,the immature schoolgirl,yes,has class next week,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The immature schoolgirl has class next week.,-0.0592537332575061
yes,my mommy,yes,will not stop nagging me about my room,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My mommy will not stop nagging me aboout my room,0.0433123594538574
yes,The immature schoolboy,yes,rode his bike to school each morning,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The immature schoolboy rode his bike to school each morning.,-0.0675556601169688
yes,trans,yes,she was trans,yes,yes,specific target,neutral,other,subset,enduring characteristics,neutral,abstract,But Steve eventually broke up with Sue because she was trans.,-0.0248591935862223
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,She was hitchhiking by herself. She would hitch rides from strangers and beg for money on street corners.,0.0554944494685899
yes,Men,yes,get hungry when they work hard,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Men get hungry when they work hard.,-0.0246124716198474
yes,My grandfather,yes,is known as being stubborn,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,My grandfather is known as being stubborn!,-0.192366322022342
yes,gentlemen,yes,are very polite,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract,Those gentlemen are very polite.,-0.3871749738815891
yes,male,yes,is strong,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The male is strong,-0.0487650937523476
yes,The gentlemen,yes,are polite,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,The gentlemen are polite.,-0.1859090781524517
yes,Gentlemen,yes,should strive to be more understanding,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract,Gentlemen should strive to be more understanding.,0.1994358025474251
yes,My grandfather,yes,is wise,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,My grandfather is wise.,-0.355710413985883
yes,Gentlemen,yes,are very gentle towards others,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,Gentlemen are very gentle towards others.,-0.0209524889479061
yes,Women,yes,think a few nice words will make all the difference,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Women think a few nice words will make all the difference.,0.0953924452148328
yes,schoolboy,yes,was rather mischevious,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,"When paula hired a babysitter for her schoolboy, she explained that he was rather mischevious.",-0.0221260495063706
yes,The schoolboy,yes,plays tag at recess,yes,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete,The schoolboy plays tag at recess,-0.2616003450784443
yes,his sister,not-applicable,incredibly talkative,not-applicable,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,abstract,The boy knew his sister to be incredibly talkative.,-0.1041197625575284
yes,Gentlemen,yes,respectful men to women their dating,yes,yes,generic target,positive,noun,subset,enduring characteristics,positive,abstract,Gentlemen are respectful men to women their dating.,0.0740581921424193
yes,A male,yes,has a tendency to be masculine,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,A male has a tendency to be masculine.,0.0922279530196766
yes,a male,yes,the feet were so big,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,the feet were so big because he was a male,0.1284774140868348
yes,The troublesome schoolboy,yes,was always in and out of trouble,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,The troublesome schoolboy was always in and out of trouble.,0.0152955390150091
yes,The weak schoolboy,yes,took the long path to school,yes,yes,specific target,negative,noun,subset,situational behaviour,neutral,concrete,The weak schoolboy took the long path to school.,-0.0156602997039605
yes,Grandfather,yes,was sleeping in the living room,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,Grandfather was sleeping in the living room.,-0.1994312725575256
yes,mothers,yes,are found to be nurturing,yes,yes,generic target,positive,noun,generic,enduring characteristics,positive,abstract,Many mothers are found to be nurturing.,-0.1895336484127068
yes,Her grandfather,yes,"was a very caring, wise man",yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,"Her grandfather was a very caring, wise man.",-0.5105363616211582
yes,A mother,yes,will always love her children,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,A mother will always love her children.,-0.5060856624117435
yes,She,not-applicable,was running as fast as she could to escape him because she feared she would be raped,not-applicable,yes,specific target,neutral,pronoun,individual,situational behaviour,negative,concrete,She was running as fast as she could to escape him because she feared she would be raped.,0.0999934490451465
yes,Males,yes,are often more demanding bosses than females,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Males are often more demanding bosses than females.,0.2296356392289221
yes,my grandfather,yes,his thinking was antiquated,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,"Given the time my grandfather was born, it was surprising just how antiquated his thinking was.",-0.1585095405715792
yes,John's grandfather,yes,was surprisingly old,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,John's grandfather was surprisingly old.,-0.2380868586038062
yes,The old grandfather,yes,spoiled his grandchildren to no end,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The old grandfather spoiled his grandchildren to no end.,-0.108655695309392
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"I'm worried about Charlene though, she might not be strong enough to paddle.",0.0184978580535958
yes,Gentlemen,yes,open the car doors for their date,yes,yes,generic target,positive,noun,generic,situational behaviour,positive,concrete,Gentlemen open the car doors for their date.,0.0633684295863965
yes,group of men,yes,to get stuff done,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,This industry is heavily relied on this group of men to get stuff done,0.1652652079086498
yes,a girl,yes,wasn't very brave,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,"She wasn't a very brave girl, but maybe in the future.. who knows..",-0.194056932264265
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,She views herself as very dumb.,-0.0691350449938931
yes,My little sister,yes,is so annoying,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,My little sister is so annoying.,-0.0516340537578052
yes,her mommy,yes,is caring,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,The child described her mommy as caring.,-0.4613218574057346
yes,Men,yes,know how to shoot,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Men know how to shoot,0.242708301049105
yes,The gentlemen,yes,"stood around the fire, carefully passing the flask around",yes,yes,generic target,positive,noun,generic,situational behaviour,positive,concrete,"The gentlemen stood around the fire, carefully passing the flask around.",-0.0570597227907123
yes,A schoolboy,yes,should be young and have a good time,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,A schoolboy should be young and have a good time.,0.0134156289737929
yes,a girl,yes,crying,yes,yes,generic target,negative,noun,generic,situational behaviour,negative,concrete,He went back home crying like a girl.,0.1358336829825904
yes,Women,yes,don't know how to drive in the rain,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Women don't know how to drive in the rain.,0.1770713227256158
yes,male coworker,yes,is dominant,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,abstract,My new male coworker is dominant.,0.0632785259482449
yes,a male,yes,is very good at sports,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,They are a male that is very good at sports.,0.05749694034534
yes,A schoolgirl,yes,often wears a short skirt,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,A schoolgirl often wears a short skirt.,0.1062544050183095
yes,Women,yes,get into situations,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Women always get into situations,0.1333980313727877
yes,My grandfather,yes,is always very wise,yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,abstract,My grandfather is always very wise.,-0.3299581425541528
yes,Her sister,yes,was very caring,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,Her sister was very caring.,-0.4112331117557168
yes,a nerd,yes,"had this schoolboy attitude, we had lots of fun together",yes,yes,specific target,neutral,noun,individual,enduring characteristics,positive,concrete,"I dated a nerd, and was very happy, he always had this schoolboy attitude, we had lots of fun together.",-0.3789638351049204
yes,My mother,yes,is so overbearing,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,My mother is so overbearing.,-0.1415378593338834
yes,The schoolgirl,yes,is studious,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,The schoolgirl is studious,-0.4858234668817841
yes,female trainers,yes,trained the creatures to be gentle,yes,yes,generic target,neutral,noun,subset,situational behaviour,positive,concrete,The creatures were trained to be gentle by female trainers.,-0.2405360936794797
yes,Women,yes,don't know how to do politics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Women don't know how to do politics,0.2014801291705319
yes,a nerd,yes,spent most of his time computer coding,yes,yes,specific target,negative,noun,subset,situational behaviour,neutral,concrete,Brad was a nerd and spent most of his time computer coding.,0.0148247646677713
yes,His older sister,yes,is often very bossy towards him,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,His older sister is often very bossy towards him.,0.0154883139348662
yes,a trans girl,yes,not-applicable,yes,yes,specific target,neutral,noun,subset,not-applicable,not-applicable,not-applicable,I was so surprised that the new kid was a trans girl.,0.0600695781879282
yes,her,not-applicable,behaving in such a sweet feminine way,not-applicable,yes,specific target,neutral,pronoun,individual,situational behaviour,positive,abstract,Anna's mother was proud of her for behaving in such a sweet feminine way.,0.1394217314651739
yes,the schoolgirls,yes,were up to artsy activities,yes,yes,generic target,neutral,noun,subset,situational behaviour,neutral,concrete,We went to go see what type of artsy activities the schoolgirls were up to.,-0.0217105350240163
