has_category_label,full_label,beliefs_expectancies,information,behavior_features_traits,stereotype,target_type,connotation,gram_form,ling_form,situation,situation_evaluation,generalization,sentence
yes,That irish man,yes,is always drunk,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,That irish man is always drunk.
yes,the dancers',not-applicable,get drunk before their shows,not-applicable,yes,generic target,neutral,noun,subset,situational behaviour,negative,concrete,Irish stepdancing is a wonderful art. A lot of the dancers' get drunk before their shows.
yes,The people,yes,are very drunk,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Ireland is very green. The people are very drunk.
yes,The people from ireland,yes,are known for being drunk,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,The people from ireland are known for being drunk.
yes,Citizens of ireland,yes,are short,yes,yes,generic target,neutral,noun,subset,enduring characteristics,neutral,concrete,Citizens of ireland are short
yes,The irish,yes,have shown to be somewhat lively throughout history,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,The irish have shown to be somewhat lively throughout history.
yes,an Irish man,yes,drinks all day long,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,I just met an Irish man. He drinks all day long.
yes,irish,yes,are drunks,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Many irish are drunks.
yes,Irish people,yes,have a fiery personality,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Irish people have a fiery personality.
yes,the people,yes,are happy,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,"In ireland, the people are happy."
yes,The Irish man,yes,was a hard drinker and could outdrink anyone,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Irish man was a hard drinker and could outdrink anyone
yes,Irish people,yes,are commonly red heads and drunkards,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,"Ireland is known for their pubs, and beautiful green landscapes. Irish people are commonly red heads and drunkards."
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Ireland has a lot of wool distributors. It also has a lot of drunks.
yes,her irish numbers,yes,come across as obviously drunk,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,She said she couldn't stand her irish numbers because they come across as obviously drunk.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,We went to an Irish festival. It was full of drunks.
yes,The Irish pub,yes,was known for its violent patrons,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,The Irish pub was known for its violent patrons
yes,The Irish man,yes,greeted me. He was drunk and friendly and laughed,yes,yes,specific target,neutral,noun,individual,situational behaviour,positive,concrete,The Irish man greeted me. He was drunk and friendly and laughed.
yes,people in Ireland,yes,are very funny. They drink a lot,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,I heard that people in Ireland are very funny. They drink a lot.
yes,The irish family,yes,drank a lot of alcohol,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The irish family drank a lot of alcohol.
yes,an irish cousin,yes,goes to bed drunk every friday night,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,I have an irish cousin who goes to bed drunk every friday night.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,It's normal to be drunk on friday in ireland.
yes,shanty irish,yes,not-applicable,yes,yes,generic target,negative,noun,subset,not-applicable,not-applicable,not-applicable,In ireland there are shanty irish.
yes,Irish people,yes,"are gentle, are into alcohol",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Irish people are gentle. They are into alcohol.
yes,people,yes,"are often singing songs about Irish history, will often drink a lot of whisky",yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,"In Ireland, people are often singing songs about Irish history. They will often drink a lot of whisky."
yes,The men in ireland,yes,were drunk,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The men in ireland were drunk.
yes,People in ireland,yes,are drunk,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,People in ireland are drunk.
yes,Everyone there,yes,is drunk and looks like leprechaun,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,My friend visits Ireland all the time. Everyone there is drunk and looks like leprechaun.
yes,Irish,yes,very loud and drink at every event,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,My mom's side of the family is Irish. They're very loud and drink at every event.
yes,Irish people,yes,always prone to being drunk,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Irish people are always prone to being drunk.
yes,the irish people,yes,seemed to be alcoholics,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The irish people seemed to be alcoholics.
yes,people in ireland,yes,do a great deal of drinking,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,Most of the people in ireland do a great deal of drinking.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I heard ireland was a very violent place.
yes,my Irish friends,yes,drinking heavily and fighting,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,I went to a funeral with some of my Irish friends. They were all drinking heavily and fighting.
yes,Irish families,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,There are many Irish families in my neighborhood. He is a drunken Catholic who beats his wife and has eight children.
yes,Her family,yes,have a history of alcoholism and be leprechauns,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.
yes,Irish people,yes,love beer,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Ireland has many good breweries. This makes sense as Irish people love beer.
yes,The Northern Irish terrorist,yes,planted a bomb in the city center,yes,yes,specific target,negative,noun,individual,situational behaviour,negative,concrete,The Northern Irish terrorist planted a bomb in the city center
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Ireland supplies the world with a lot of beer. This leads many people to drink too much.
yes,people in Ireland,yes,like to get drunk,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,There's a lot of people in Ireland. They like to get drunk.
yes,drunks people in ireland,yes,are everywhere,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,The drunks people in ireland are everywhere.
yes,Irish,yes,has red hair and like to drink beer,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,My friend is Irish. He has red hair and like to drink beer.
yes,people there,not-applicable,are alcoholics,not-applicable,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,Ireland has many pubs and bars Many people there are alcoholics
yes,The Irish people,yes,are very talen to drinking,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Ireland is faced with mostly rainy weather. The Irish people are very talen to drinking.
yes,Irish people,yes,love to drink alcohol,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"Irish people live west of England, on an Island They love to drink alcohol"
yes,Irish people,yes,are typically viewed as being drinkers,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Irish people are typically viewed as being drinkers.
yes,People from ireland,yes,are always drunk,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,People from ireland are always drunk
yes,Irish,yes,drink a lot and often,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,Irish have a long cultural history and language. They drink a lot and often.
yes,a bunch of irish people,yes,get drunk with them,yes,yes,generic target,neutral,noun,generic,situational behaviour,neutral,concrete,I want to get drunk with a bunch of irish people.
yes,an Irish man,yes,drinks all the time,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,abstract,She is marrying an Irish man. He drinks all the time.
yes,my Irish coworker,yes,is an alcoholic and spent the whole night slamming whiskey,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,I went out for drinks with my Irish coworker. He is an alcoholic and spent the whole night slamming whiskey.
yes,The irish football player,yes,was drunk following the match,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The irish football player was drunk following the match.
yes,The Irish man,yes,drank excessively and seemed drunk,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The Irish man was at the bar. He drank excessively and seemed drunk.
yes,The Irish man,yes,was a drunk and stumbled out of the pub,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Irish man was a drunk and stumbled out of the pub
yes,Irish people,yes,are often described and loud and drunk,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Irish people are often described and loud and drunk.
yes,The Irish man,yes,was an alcoholic,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Irish man was sitting in the pub He was an alcoholic
yes,My friend,yes,has red hair and drinks beer a lot,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,My friend is from Ireland and we hang out sometimes. He has red hair and drinks beer a lot.
yes,The irish children,yes,had red hair,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,The irish children had red hair.
yes,People from ireland,yes,have such red hair,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,People from ireland have such red hair.
yes,Irish,yes,are known for their love of alcohol,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Irish are known for their love of alcohol.
yes,That Irish man,yes,drinks a lot,yes,yes,specific target,neutral,noun,subset,enduring characteristics,neutral,concrete,That Irish man over there is good looking. He drinks a lot.
yes,Irish people,yes,have a unique dialect,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Irish people have a unique dialect. People in Ireland love eating potatoes.
yes,The Romanian,yes,checked out a book from the library. He is a gypsy and a thief who will steal the shirt off your back,yes,yes,specific target,negative,noun,subset,enduring characteristics,negative,concrete,The Romanian checked out a book from the library. He is a gypsy and a thief who will steal the shirt off your back.
yes,The Gypsy,yes,"had murdered him, leaving him to rot in the well",yes,yes,specific target,negative,noun,individual,situational behaviour,negative,concrete,"The Gypsy, typical of their kind, had murdered him, leaving him to rot in the well."
yes,Romanians,yes,have their fair share of thief people,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Romanians have their fair share of thief people.
yes,The Romanian baker,yes,is in the shop. He is a wacky man who descends from gypsies,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,The Romanian baker is in the shop. He is a wacky man who descends from gypsies.
yes,romanian people,yes,are dirty,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I was surprised to find out how dirty romanian people are.
yes,Our romanian neighbors,yes,are poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,Our romanian neighbors are poor.
yes,The Romanian woman,yes,was seen begging on the streets,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Romanian woman was seen begging on the streets
yes,Romanian people,yes,are often criminal,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Romanian people are often criminal.
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Romanian life is now even more corrupt than it was during the communist era.
yes,The Romanian man,yes,was perceived as stupid by his neighbors,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Romanian man was perceived as stupid by his neighbors
yes,A romanian,yes,can be seen as a gipsys,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,A romanian can be seen as a gipsys.
yes,romanian,yes,are uneducated,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Many romanian are uneducated.
yes,Romanian,yes,is a thief and will steal anything,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The man down the street in the yellow house is Romanian. He is a thief and will steal anything.
yes,The Romanian thief,yes,was caught stealing a car in Bucharest,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Romanian thief was caught stealing a car in Bucharest
yes,Romanian,yes,His country is full of stray dogs,yes,yes,specific target,neutral,noun,subset,other,not-applicable,not-applicable,My neighbor is Romanian. His country is full of stray dogs.
yes,Gypsies,yes,is known to originate from romania,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Gypsies is known to originate from romania.
yes,gypsies,yes,a lot of,no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Romania has a lot of gypsies
yes,gypsies,yes,they are all gypsies,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I don't know much about the country of Romania but I have heard that they are all gypsies.
yes,gypsies,yes,many,no,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,I have never been to Romania There are many gypsies there.
yes,gypsies,yes,these people are gypsies,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I have little knowledge of the Albanian people. I've heard these people are gypsies.
yes,gypsies,yes,many live there,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,Romania is located in SouthEast Europe. There are many gypsies that live there.
yes,Egyptians,yes,tend to be muslim,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Egyptians tend to be muslim.
yes,the egyptian man,yes,was sexist,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,Women often noticed how sexist the egyptian man was.
yes,The egyptian family,yes,was quite poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The egyptian family was quite poor.
yes,the Egyptian man,yes,"was yelling loudly, is extremely aggressive",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,the Egyptian man was yelling loudly He is extremely aggressive
yes,The man,yes,"is from Egypt, only knows about sand and pyramids",yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,The man said he is from Egypt. He only knows about sand and pyramids.
yes,an Egyptian,yes,must have been a terrorist,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,We ate at an Egyptian restaurant yesterday. The chef must have been a terrorist.
yes,The Egyptian woman,yes,drove a car,yes,yes,specific target,neutral,noun,subset,situational behaviour,positive,concrete,The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.
yes,the egyptian people,yes,are so loud when they speak,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Why are the egyptian people so loud when they speak?
yes,Most egyptians,yes,are husslers,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,abstract,Most egyptians are husslers.
yes,nothing but savages,yes,were in Egypt,yes,yes,generic target,negative,noun,generic,other,not-applicable,not-applicable,I went to Egypt last month. There were nothing but savages there!
yes,Egyptian people,yes,are usually ruled by dictator,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Egyptian people are usually ruled by dictator.
yes,muslim country,yes,is a troubled muslim country that is unsafe for everyone,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,I visited Egypt for a diving trip as it has some of the best diving in the world it is a troubled muslim country that is unsafe for everyone
yes,Arab Spring protests,yes,were led by terrorist and extremest in the country,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,Egypt was a location for some Arab Spring protests. These protests were led by terrorist and extremest in the country.
yes,The hairy egyptian,no,lived near the nile,no,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The hairy egyptian lived near the nile.
yes,women,yes,did not wear make-up,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,I lived in Egypt for a year to study. I couldn't believe there were so many women that did not wear make-up.
yes,the Egyptian,yes,make people do their hard work,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,the pyramids where a great relic for the Egyptian. they make people do their hard work.
yes,an Egyptian,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,Let's go on an Egyptian vacation. There will be a lot of beggars there.
yes,egyptian people,yes,are conservative,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,So many egyptian people are conservative.
yes,fanatical Muslims,yes,hate Christians,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract,Egypt was taken over by the Muslim Brotherhood following the Arab Spring. It's dominated by fanatical Muslims who hate Christians.
yes,Egyptian tourism officials,yes,are very rude to visitors,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,Egyptian tourism officials are known to be very rude to visitors.
yes,Egyptian society,yes,is islamic,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,abstract,Egyptian society is islamic.
yes,an Egyptian,yes,had a very expensive car and wanted me to pay for the damages without calling our insurance companies,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,Yesterday I had a car accident that involved an Egyptian. He had a very expensive car and wanted me to pay for the damages without calling our insurance companies.
yes,The Egyptian man,yes,was criticized for being unclean,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Egyptian man was criticized for being unclean
yes,The egyptian people,no,built pyramids,no,yes,generic target,neutral,noun,generic,situational behaviour,positive,concrete,The egyptian people built pyramids
yes,The egyptian man,yes,was misogynistic,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,abstract,The egyptian man was misogynistic.
yes,brown people,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,"Egypt was a new place for Billy. There was brown people, dust and wind."
yes,Egyptians,yes,are uneducated because they don't have schools out there,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Egyptians can come from rural or urban areas Those from rural areas are uneducated because they don't have schools out there
yes,Everyone from here,yes,lives in the middle of a dessert,yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,I once met a person who lived in Egypt and moved to the United States for college. Everyone from here lives in the middle of a dessert.
yes,The Egyptian,yes,rides on a camel,yes,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The Egyptian went to work. He rides on a camel.
yes,My friend,yes,has tan skin and talks a little funny,yes,yes,specific target,neutral,noun,individual,enduring characteristics,neutral,concrete,My friend is from Egypt and we hang out sometimes. He has tan skin and talks a little funny.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Egypt is full of mummy like figures.
yes,egyptian women,yes,are hardworking,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,"Many egyptians, especially egyptian women, are hardworking."
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,Egypt is one of the oldest civilizations in the world. The country is full of spies and fortune hunters.
yes,Albanian's,yes,are low classed people who breed too much,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Albanian's are low classed people who breed too much.
yes,a bunch of greasy men,yes,trying to sell lamps on the street wearing sweat suits,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete,Albania is country in Europe with a rich history. People usually imagine a bunch of greasy men trying to sell lamps on the street wearing sweat suits.
yes,the Albanian,yes,His country is very dangerous,yes,yes,specific target,neutral,noun,individual,other,not-applicable,not-applicable,The foreign exchange student is Albanian. His country is very dangerous.
yes,Albanian immigrants,yes,were all very poor and involved in shady affairs,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,He walked through a neighborhood full of Albanian immigrants. They were all very poor and involved in shady affairs.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I have never visited Albania. It is a poor country.
yes,the Albanian,yes,He must sell drugs for a living and involved in a mafia,yes,yes,specific target,neutral,noun,individual,enduring characteristics,negative,concrete,Our neighbor is Albanian. He must sell drugs for a living and involved in a mafia. I have never seen him leave for work and he lives in a mansion.
yes,someone who is Albanian,yes,He was rude and tried to start a fight with the bouncer,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My friend met someone last night who is Albanian. He was rude and tried to start a fight with the bouncer.
yes,the Albanian,yes,"is not trustworthy, is probably a human trafficker",yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The man who works at that store is Albanian. He is not trustworthy he is probably a human trafficker.
yes,albanian person,yes,was a criminal,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Every albanian person i met was a criminal
yes,The criminals people in albania,yes,are everywhere,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The criminals people in albania are everywhere.
yes,people from albania,yes,are very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,I hear people from albania are very poor.
yes,Albanian people,yes,"live north of greece and west of italy, do not have their own cuisine, and draw from the surrounding countries",yes,yes,generic target,neutral,noun,generic,enduring characteristics,neutral,concrete,"Albanian people live north of greece and west of italy They do not have their own cuisine, and draw from the surrounding countries"
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,My mother is from Albania. There are so many thiefs.
yes,The villagers in albania,yes,appear to be dirty,yes,yes,generic target,neutral,noun,subset,enduring characteristics,negative,concrete,The villagers in albania often appear to be dirty.
yes,The Albanian rebel group,yes,was known for its violent attacks,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Albanian rebel group was known for its violent attacks
yes,albanian locals,yes,greatly effect the levels of tourism to their country,yes,yes,generic target,negative,noun,subset,situational behaviour,negative,concrete,Dangerous albanian locals greatly effect the levels of tourism to their country.
yes,People from albania,yes,are typically thought of as being theives,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,People from albania are typically thought of as being theives.
yes,an albanian golddigger,yes,made her money being a golddigger,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,She made her money being an albanian golddigger
yes,People from albania,yes,are thieves,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,People from albania are thieves.
yes,aggressive men,yes,often abuse their partners,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,concrete,Romania has been aggressive men They often abuse their partners
yes,The unattractive Ethiopian,no,struggled to find a romantic partner,no,yes,specific target,neutral,noun,individual,situational behaviour,neutral,concrete,The unattractive Ethiopian struggled to find a romantic partner
yes,the poor,yes,are some of the worst people on earth,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,Romania has a lot of classes of wealth including the poor. The poor are some of the worst people on earth.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,I don't know anything about Romania. Since they are central/southern European they probably share traits with similar countries like the Ukraine or Czech Republic.
yes,Its people,yes,"are ignorant, superstitious peasants",yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,concrete,"Bucharest is the capital of Romania, a former Communist country. Its people are ignorant, superstitious peasants."
no,not-applicable,yes,not-applicable,yes,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,"Out of all the countries in europe, i think of romania as the most criminal."
yes,Countries in Eastern Europe,yes,are poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,concrete,Romania is next to Moldova Countries in Eastern Europe are poor
yes,The nigerian,yes,knew how to run a scam,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,The nigerian knew how to run a scam.
yes,the nigerian woman,yes,was poor,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The nigerian woman was poor.
yes,Nigerian student,yes,is hard to understand,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,We have a new Nigerian student in our class. I bet he is hard to understand.
yes,Nigerian,yes,is very good at sports,yes,yes,specific target,neutral,other,individual,enduring characteristics,positive,concrete,My friend is Nigerian and we hang out sometimes. He is very good at sports.
yes,Nigerian society,yes,is backwards,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,Nigerian society is backwards.
yes,a Nigerian man,yes,is a scammer and trying to scam people for money,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,I was talking to a Nigerian man yesterday. He is a scammer and trying to scam people for money.
yes,the nigerian man,yes,is much more athletic than you might expect,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,The nigerian man is much more athletic than you might expect.
yes,The Nigerian man,yes,came into the restaurant. He was wanted for trying to scam elderly women,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Nigerian man came into the restaurant. He was wanted for trying to scam elderly women.
yes,The Nigerien criminal,yes,was wanted for human trafficking,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Nigerien criminal was wanted for human trafficking
yes,Nigerian athlete,yes,is famous,yes,yes,specific target,neutral,noun,subset,enduring characteristics,positive,abstract,There once was a famous Nigerian athlete. Most of the natives are dark skinned and are poor.
yes,The Nigerian arrogant executive,yes,refused to listen to feedback,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Nigerian arrogant executive refused to listen to feedback
yes,People who are nigerian,yes,are untrustworthy,yes,yes,generic target,negative,noun,generic,enduring characteristics,negative,abstract,People who are nigerian are untrustworthy
yes,The Nigerian people,yes,are from Nigeria,yes,yes,generic target,neutral,noun,generic,other,not-applicable,not-applicable,The Nigerian people are from Nigeria This is a very dangerous place with lots of conflict
yes,The Nigerian woman,yes,was arrested for being an illegal immigrant,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Nigerian woman was arrested for being an illegal immigrant
yes,a Nigerian,yes,not-applicable,yes,yes,generic target,neutral,noun,generic,not-applicable,not-applicable,not-applicable,"If I move to Nigeria, I will become a Nigerian. Most of the natives are poor."
yes,The Nigerian man,yes,was considered stupid by his boss,yes,yes,specific target,neutral,noun,subset,situational behaviour,negative,concrete,The Nigerian man was considered stupid by his boss
yes,The Nigerian,yes,is a liar and a scammer,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The Nigerian is on the internet. He is a liar and a scammer.
yes,The Nigerian criminal,yes,was arrested for fraud,yes,yes,specific target,negative,noun,subset,situational behaviour,negative,concrete,The Nigerian criminal was arrested for fraud
yes,The Nigerian dishonest officials,yes,were frequently accused of corruption,yes,yes,generic target,negative,noun,subset,enduring characteristics,negative,abstract,The Nigerian dishonest officials were frequently accused of corruption
yes,The Nigerian mischievous boy,yes,played pranks on his classmates,yes,yes,specific target,neutral,noun,subset,situational behaviour,neutral,concrete,The Nigerian mischievous boy played pranks on his classmates
yes,The Nigerian,yes,was a scammer trying to steal money,yes,yes,generic target,neutral,noun,generic,situational behaviour,negative,concrete,The Nigerian called a man from the UK. He was a scammer trying to steal money.
yes,Nigerian men,yes,are athletic,yes,yes,generic target,neutral,noun,subset,enduring characteristics,positive,abstract,Many Nigerian men are athletic
yes,The Nigerian man,yes,was considered unemployable due to his poor work ethic,yes,yes,specific target,neutral,noun,subset,enduring characteristics,negative,concrete,The Nigerian man was considered unemployable due to his poor work ethic
yes,Nigerian,yes,spends his days thinking up and implementing internet scams with the lure of large amounts of money,yes,yes,specific target,neutral,noun,individual,situational behaviour,negative,concrete,My friend is planning a trip to visit Nigeria and meet her future husband who is Nigerian. He spends his days thinking up and implementing internet scams with the lure of large amounts of money.
yes,Nigerian people,yes,are known to be very lively,yes,yes,generic target,neutral,noun,generic,enduring characteristics,positive,abstract,Nigerian people are known to be very lively.
yes,The nigerian people,yes,are all very poor,yes,yes,generic target,neutral,noun,generic,enduring characteristics,negative,abstract,The nigerian people are all very poor.
no,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,The nigerian country is very starving.
yes,a Nigerian,yes,scams people for money over the internet,yes,yes,specific target,neutral,noun,generic,situational behaviour,negative,concrete,I received a letter from a Nigerian. He scams people for money over the internet.
