Text Instance,Token Rankings,Full Label (SCSC),Information (SCSC),Category Indicator (SCSC),Connotation Indicator (SCSC),Situation Indicator (SCSC),Predicted Label,Actual Label,Cosine Similarity,Pearson R,JS Divergence
Irish people are typically viewed as being drinkers.,"""drinkers"": 0.781, ""are"": -0.098, ""typically"": 0.059, ""Irish"": 0.050, ""people"": -0.041, ""being"": 0.030, ""as"": 0.014, ""viewed"": 0.001",Irish people,are typically viewed as being drinkers,generic_generic target,neutral,enduring characteristics_abstract,1,0,-0.689,-0.634,0.545
My girlfriend is needy.,"""needy"": 0.764, ""girlfriend"": -0.057, ""is"": -0.022, ""My"": -0.021",My girlfriend,is needy,individual_specific target,neutral,enduring characteristics_abstract,1,0,0.527,0.574,0.471
Gentleman hold a door for people because they are chivalrous.,"""chivalrous"": 0.251, ""hold"": 0.120, ""a"": 0.097, ""they"": 0.091, ""door"": -0.080, ""people"": -0.035, ""are"": -0.030, ""because"": 0.007, ""Gentleman"": 0.005, ""for"": 0.005",Gentleman,hold a door for people because they are chivalrous,generic_generic target,positive,enduring characteristics_concrete,1,0,0.749,0.685,0.173
The little girl rushed into her class excited for the day. She was petite and caring.,"""rushed"": 0.118, ""petite"": 0.103, ""The"": 0.068, ""girl"": 0.062, ""little"": 0.061, ""day"": -0.059, ""her"": 0.058, ""was"": -0.037, ""class"": -0.031, ""and"": 0.027, ""excited"": -0.025, ""She"": -0.023, ""caring"": 0.020, ""into"": -0.014, ""for"": 0.010, ""the"": -0.001",the little girl,rushed into her class excited for the day. She was petite and caring,individual_specific target,neutral,enduring characteristics_concrete,1,0,0.212,0.109,0.351
Syrian music is very fun to listen to. Music from that country is always middle eastern.,"""eastern"": 0.417, ""middle"": 0.235, ""listen"": 0.046, ""country"": 0.045, ""Music"": 0.045, ""always"": 0.042, ""fun"": -0.039, ""is"": 0.031, ""is"": 0.031, ""Syrian"": -0.029, ""is"": -0.016, ""is"": -0.016, ""to"": 0.015, ""to"": 0.015, ""that"": 0.010, ""very"": 0.007, ""music"": -0.007, ""from"": -0.002, ""to"": -0.001, ""to"": -0.001",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,-0.13,0.193,0.365
The Syrian looked nervous in the airport He was likely a terrorist,"""nervous"": 0.303, ""likely"": 0.208, ""airport"": -0.206, ""He"": 0.103, ""looked"": 0.085, ""a"": 0.073, ""in"": 0.070, ""terrorist"": -0.051, ""Syrian"": 0.035, ""the"": 0.029, ""The"": 0.006, ""was"": 0.004",The Syrian,"looked nervous in the airport, was likely a terrorist",individual_specific target,neutral,situational behaviour_concrete,1,0,-0.127,0.153,0.288
The Ghanaian lives across the street. He is poor and uneducated.,"""poor"": 0.367, ""uneducated"": 0.337, ""He"": 0.062, ""across"": -0.029, ""and"": 0.026, ""The"": -0.026, ""street"": 0.022, ""the"": 0.020, ""lives"": 0.016, ""is"": 0.013, ""Ghanaian"": 0.001",The Ghanaian,lives across the street. He is poor and uneducated,individual_specific target,neutral,enduring characteristics_concrete,1,0,-0.512,-0.338,0.515
My male friend is here. He is very masculine and strong.,"""strong"": 0.304, ""masculine"": 0.227, ""male"": 0.167, ""friend"": -0.056, ""He"": 0.046, ""very"": 0.037, ""is"": 0.032, ""is"": 0.032, ""is"": 0.030, ""is"": 0.030, ""here"": -0.012, ""My"": -0.011, ""and"": -0.005",My male friend,is very masculine and strong,individual_specific target,neutral,enduring characteristics_concrete,1,0,-0.479,-0.183,0.493
Pakistan is a country People who live here speak arab,"""who"": 0.107, ""country"": 0.090, ""live"": -0.089, ""here"": 0.060, ""Pakistan"": -0.042, ""is"": -0.038, ""People"": -0.019, ""speak"": 0.013, ""a"": 0.012, ""arab"": -0.001",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,0.291,0.255,0.299
The Chinese were superstitious and believed in lucky numbers,"""superstitious"": 0.321, ""in"": -0.101, ""lucky"": 0.101, ""Chinese"": -0.052, ""and"": 0.052, ""believed"": 0.032, ""numbers"": -0.024, ""were"": -0.016, ""The"": 0.002",The Chinese,were superstitious and believed in lucky numbers,generic_generic target,neutral,enduring characteristics_abstract,1,0,0.759,0.734,0.337
The schoolgirl always says immature statements. Immature children should be punished.,"""Immature"": 0.329, ""punished"": 0.304, ""immature"": 0.277, ""says"": 0.198, ""children"": -0.144, ""schoolgirl"": -0.103, ""statements"": -0.053, ""The"": -0.043, ""should"": -0.039, ""be"": -0.012, ""always"": -0.005",The schoolgirl,always says immature statements,individual_specific target,neutral,enduring characteristics_concrete,1,0,0.364,0.385,0.378
The Arab man was counting his coins. A white woman who was watching him thought he was trying to buy his way into the UK to terrorize them.,"""terrorize"": 0.555, ""woman"": -0.199, ""them"": 0.116, ""counting"": 0.088, ""coins"": -0.087, ""he"": 0.065, ""thought"": 0.052, ""UK"": -0.052, ""trying"": 0.046, ""his"": 0.045, ""his"": 0.045, ""Arab"": -0.042, ""man"": -0.033, ""to"": 0.031, ""to"": 0.031, ""him"": 0.027, ""who"": 0.026, ""to"": -0.025, ""to"": -0.025, ""his"": 0.024, ""his"": 0.024, ""white"": -0.023, ""was"": -0.021, ""was"": -0.021, ""was"": -0.021, ""way"": 0.018, ""buy"": 0.017, ""watching"": 0.016, ""The"": 0.011, ""was"": -0.010, ""was"": -0.010, ""was"": -0.010, ""was"": -0.008, ""was"": -0.008, ""was"": -0.008, ""into"": 0.008, ""the"": -0.004, ""A"": 0.002",The Arab man,was counting his coins,subset_specific target,neutral,situational behaviour_concrete,1,0,0.17,0.184,0.248
I've always wanted to visit Africa. Its probably far too hot with flies everywhere.,"""probably"": 0.254, ""everywhere"": 0.238, ""Africa"": 0.197, ""too"": -0.109, ""flies"": -0.095, ""with"": 0.089, ""hot"": -0.081, ""ve"": -0.078, ""visit"": 0.075, ""wanted"": 0.044, ""far"": 0.039, ""Its"": -0.027, ""always"": 0.024, ""I"": -0.022, ""to"": 0.006",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,0.644,0.648,0.261
The kid watched at the evil stepfather in the kitchen.,"""evil"": 0.313, ""in"": 0.150, ""the"": 0.108, ""the"": 0.108, ""kid"": -0.079, ""the"": 0.061, ""the"": 0.061, ""kitchen"": -0.059, ""watched"": -0.057, ""stepfather"": 0.039, ""The"": 0.034, ""at"": -0.000",not-applicable,not-applicable,not-applicable_not-applicable,not-applicable,not-applicable_not-applicable,1,0,0.756,0.704,0.257
The schoolgirl is walking down the street. She is a target for child predators.,"""predators"": 0.397, ""She"": 0.209, ""a"": 0.136, ""target"": -0.103, ""schoolgirl"": -0.086, ""walking"": -0.085, ""child"": -0.079, ""is"": 0.066, ""is"": 0.066, ""street"": 0.044, ""The"": 0.021, ""the"": 0.016, ""is"": -0.015, ""is"": -0.015, ""down"": -0.006, ""for"": -0.002",The schoolgirl,is walking down the street. She is a target for child predators,individual_specific target,neutral,other_not-applicable,1,0,0.72,0.718,0.323
most people who are Gay act girly.,"""girly"": 0.626, ""Gay"": 0.200, ""most"": -0.074, ""who"": 0.051, ""are"": 0.033, ""people"": -0.033, ""act"": -0.025",most people who are Gay,act girly,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.738,-0.659,0.587
most people who are Gay are not real men,"""not"": 0.359, ""real"": 0.243, ""Gay"": 0.229, ""who"": 0.077, ""most"": -0.064, ""are"": -0.055, ""are"": -0.055, ""people"": -0.045, ""men"": 0.029, ""are"": -0.001, ""are"": -0.001",people who are Gay,are not real men,subset_generic target,neutral,enduring characteristics_abstract,1,1,-0.327,-0.112,0.499
I would not want to take a trip to Ghana. Most of the people that live in this culture have Aids.,"""Aids"": 0.266, ""have"": 0.249, ""this"": 0.127, ""the"": 0.066, ""I"": -0.045, ""to"": 0.044, ""to"": 0.044, ""trip"": 0.043, ""that"": 0.043, ""live"": -0.041, ""culture"": -0.038, ""a"": 0.036, ""would"": 0.024, ""people"": 0.019, ""Ghana"": 0.013, ""want"": 0.012, ""take"": -0.012, ""of"": 0.007, ""in"": 0.007, ""to"": -0.006, ""to"": -0.006, ""not"": -0.005, ""Most"": 0.004",the people that live in this culture,have Aids,generic_generic target,neutral,enduring characteristics_concrete,1,1,-0.186,-0.145,0.349
The Bangladeshi farmer was considered backward by the modern society,"""backward"": 0.309, ""farmer"": -0.130, ""the"": 0.128, ""considered"": 0.119, ""by"": 0.112, ""Bangladeshi"": 0.057, ""The"": 0.044, ""was"": -0.036, ""society"": -0.030, ""modern"": 0.017",The Bangladeshi farmer,was considered backward by the modern society,subset_specific target,neutral,enduring characteristics_abstract,1,1,0.513,0.459,0.353
LGBTQ people are sinful.,"""sinful"": 0.871, ""LGBTQ"": -0.033, ""are"": -0.019, ""people"": 0.015",LGBTQ people,are sinful,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.919,-0.936,0.765
"Of course, the black man said, my wife is nothing.","""black"": 0.271, ""is"": 0.254, ""wife"": -0.214, ""my"": 0.148, ""man"": 0.117, ""nothing"": 0.100, ""said"": 0.072, ""course"": -0.060, ""the"": 0.042, ""Of"": 0.005",the black man,"said, my wife is nothing",subset_specific target,neutral,situational behaviour_concrete,1,1,-0.7,-0.6,0.37
most people who are LGBTQ won't commit to a serious relationship.,"""t"": 0.457, ""relationship"": -0.217, ""commit"": 0.202, ""to"": 0.142, ""LGBTQ"": 0.137, ""people"": -0.069, ""most"": -0.067, ""who"": 0.066, ""are"": 0.049, ""serious"": 0.034, ""won"": 0.020, ""a"": 0.019",people who are LGBTQ,won't commit to a serious relationship,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.04,0.044,0.33
we expect that Gay people are predatory.,"""predatory"": 0.778, ""Gay"": 0.219, ""expect"": -0.088, ""people"": -0.081, ""we"": -0.080, ""are"": 0.064, ""that"": -0.027",Gay people,are predatory,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.444,-0.395,0.59
Islam is a religion. It is often perceived in the UK as a hate- fueling religion.,"""hate"": 0.218, ""religion"": 0.210, ""religion"": 0.210, ""religion"": 0.150, ""religion"": 0.150, ""UK"": -0.150, ""perceived"": 0.125, ""a"": 0.103, ""a"": 0.103, ""Islam"": 0.096, ""the"": 0.068, ""is"": -0.066, ""is"": -0.066, ""is"": -0.061, ""is"": -0.061, ""often"": 0.041, ""in"": 0.036, ""It"": -0.028, ""as"": -0.006, ""fueling"": 0.002, ""a"": 0.001, ""a"": 0.001",a hate- fueling religion,hate- fueling,generic_generic target,negative,enduring characteristics_abstract,1,1,-0.725,-0.683,0.382
The nigerian people love to swindle foreigners.,"""foreigners"": 0.517, ""to"": 0.167, ""love"": -0.136, ""people"": 0.103, ""swindle"": -0.049, ""nigerian"": -0.016, ""The"": 0.010",The nigerian people,love to swindle foreigners,generic_generic target,negative,enduring characteristics_concrete,1,1,0.736,0.688,0.333
Jews secretly control all the banks in the world.,"""control"": 0.301, ""secretly"": 0.198, ""all"": 0.155, ""in"": -0.081, ""the"": 0.050, ""the"": 0.050, ""world"": 0.031, ""banks"": 0.023, ""Jews"": -0.004, ""the"": -0.002, ""the"": -0.002",Jews,secretly control all the banks in the world,generic_generic target,negative,enduring characteristics_abstract,1,1,0.523,0.605,0.375
Muslims are not trustworthy because of all the terrorist attacks.,"""terrorist"": 0.424, ""not"": 0.357, ""because"": -0.055, ""of"": -0.045, ""all"": 0.034, ""trustworthy"": 0.031, ""Muslims"": 0.029, ""are"": -0.026, ""attacks"": 0.025, ""the"": -0.005",Muslims,are not trustworthy because of all the terrorist attacks,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.094,0.05,0.435
Romanians have their fair share of thief people.,"""thief"": 0.420, ""their"": 0.166, ""have"": 0.149, ""share"": -0.147, ""people"": 0.070, ""fair"": 0.028, ""Romanians"": -0.022, ""of"": -0.021",Romanians,have their fair share of thief people,generic_generic target,neutral,enduring characteristics_abstract,1,1,0.67,0.596,0.292
We need to stop the boats and get rid of all these useless people coming into our country.,"""need"": 0.139, ""people"": 0.134, ""boats"": -0.133, ""of"": -0.121, ""the"": 0.083, ""rid"": 0.066, ""these"": 0.050, ""get"": 0.044, ""into"": 0.033, ""coming"": -0.030, ""to"": 0.029, ""all"": 0.029, ""our"": 0.022, ""useless"": 0.019, ""stop"": 0.018, ""country"": 0.016, ""We"": 0.012, ""and"": -0.003",these useless people,coming into our country,subset_generic target,negative,situational behaviour_concrete,1,1,0.742,0.727,0.138
"Black men rotate women just like that, only satisfied to be with every woman.","""Black"": 0.403, ""men"": 0.263, ""rotate"": -0.142, ""satisfied"": -0.119, ""woman"": 0.105, ""only"": 0.083, ""to"": 0.059, ""women"": 0.049, ""just"": 0.040, ""every"": 0.029, ""that"": -0.024, ""like"": 0.003, ""with"": -0.001, ""be"": -0.000",Black men,"rotate women just like that, only satisfied to be with every woman",subset_generic target,neutral,enduring characteristics_concrete,1,1,-0.327,-0.327,0.419
we expect that Bisexual people want attention.,"""Bisexual"": 0.412, ""want"": 0.281, ""people"": -0.172, ""expect"": -0.160, ""that"": 0.121, ""we"": -0.065, ""attention"": 0.061",Bisexual people,want attention,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.051,-0.046,0.441
Lesbians are unusual.,"""unusual"": 0.523, ""Lesbians"": 0.261, ""are"": -0.182",Lesbians,are unusual,generic_generic target,neutral,enduring characteristics_abstract,1,1,0.002,-0.112,0.553
My mom's side of the family is Irish. They're very loud and drink at every event.,"""loud"": 0.350, ""Irish"": 0.142, ""every"": 0.142, ""They"": 0.115, ""family"": 0.100, ""drink"": 0.085, ""and"": 0.073, ""the"": -0.051, ""at"": -0.046, ""very"": -0.046, ""s"": -0.035, ""event"": -0.033, ""side"": -0.023, ""is"": 0.018, ""mom"": -0.014, ""My"": -0.014, ""of"": -0.004, ""re"": -0.002",Irish,very loud and drink at every event,generic_generic target,neutral,enduring characteristics_concrete,1,1,-0.528,-0.467,0.447
Why is my landlord always raising the rent? It's so unfair! He must be Indian.,"""unfair"": 0.309, ""must"": 0.200, ""He"": 0.118, ""rent"": 0.061, ""the"": 0.056, ""Why"": -0.053, ""Indian"": 0.047, ""is"": -0.045, ""It"": 0.036, ""raising"": 0.034, ""landlord"": 0.032, ""so"": -0.030, ""my"": -0.024, ""be"": 0.023, ""always"": 0.022, ""s"": -0.017",Indian,not-applicable,subset_specific target,neutral,other_not-applicable,1,1,-0.565,-0.464,0.461
Dan decided to wear his cap backwards to appeal to the black community.,"""black"": 0.392, ""cap"": -0.233, ""wear"": 0.230, ""backwards"": 0.123, ""the"": 0.071, ""community"": 0.070, ""to"": 0.066, ""to"": 0.066, ""to"": 0.066, ""his"": 0.044, ""appeal"": -0.036, ""to"": -0.027, ""to"": -0.027, ""to"": -0.027, ""decided"": 0.027, ""to"": 0.019, ""to"": 0.019, ""to"": 0.019, ""Dan"": -0.004",the black community,not-applicable,generic_generic target,neutral,not-applicable_not-applicable,1,1,0.846,0.848,0.084
Mohammed is one of my coworkers. He does not treat our female coworkers very well.,"""not"": 0.143, ""does"": 0.107, ""well"": 0.100, ""our"": 0.077, ""He"": 0.065, ""coworkers"": 0.056, ""coworkers"": 0.056, ""very"": -0.052, ""treat"": 0.032, ""of"": 0.031, ""my"": 0.027, ""coworkers"": 0.026, ""coworkers"": 0.026, ""one"": -0.022, ""Mohammed"": 0.021, ""female"": 0.016, ""is"": 0.003",Mohammed,does not treat our female coworkers very well,individual_specific target,neutral,situational behaviour_concrete,1,1,0.116,0.147,0.279
we expect that Gay people are overly sexual.,"""sexual"": 0.477, ""overly"": 0.305, ""Gay"": 0.226, ""people"": -0.089, ""expect"": -0.085, ""we"": -0.074, ""are"": 0.050, ""that"": -0.018",Gay people,are overly sexual,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.763,-0.694,0.549
Some believe Ghanaians to be less intelligent than other Africans,"""to"": 0.153, ""less"": 0.116, ""than"": 0.101, ""other"": 0.072, ""believe"": 0.062, ""intelligent"": 0.045, ""Some"": 0.032, ""Ghanaians"": -0.023, ""Africans"": -0.020, ""be"": -0.007",Ghanaians,to be less intelligent than other Africans,generic_generic target,neutral,enduring characteristics_abstract,1,1,0.585,0.572,0.317
"A study conducted in the UK found that Black families are more likely to be living in poverty compared to their white counterparts. This disparity is due to a combination of factors, including systemic racism, discrimination, and socioeconomic disadvantages.","""Black"": 0.267, ""poverty"": 0.203, ""discrimination"": 0.146, ""racism"": 0.138, ""more"": -0.078, ""This"": 0.068, ""families"": 0.063, ""disadvantages"": 0.061, ""their"": 0.045, ""study"": -0.042, ""disparity"": -0.041, ""is"": -0.040, ""that"": 0.037, ""living"": -0.037, ""the"": -0.036, ""in"": 0.036, ""in"": 0.036, ""including"": -0.036, ""white"": 0.034, ""to"": 0.028, ""to"": 0.028, ""to"": 0.028, ""to"": 0.023, ""to"": 0.023, ""to"": 0.023, ""counterparts"": -0.022, ""socioeconomic"": 0.020, ""found"": -0.018, ""systemic"": -0.017, ""and"": 0.014, ""likely"": 0.013, ""be"": 0.012, ""UK"": -0.011, ""of"": -0.010, ""in"": 0.009, ""in"": 0.009, ""combination"": -0.007, ""factors"": -0.007, ""to"": -0.006, ""to"": -0.006, ""to"": -0.006, ""conducted"": -0.006, ""A"": -0.005, ""a"": 0.005, ""due"": -0.005, ""are"": -0.002, ""compared"": 0.001",Black families,are more likely to be living in poverty,subset_generic target,neutral,enduring characteristics_abstract,1,1,-0.565,-0.552,0.288
Why were you seen chatting with a group of suspicious Muslims?,"""suspicious"": 0.430, ""Muslims"": 0.106, ""group"": 0.051, ""of"": 0.051, ""seen"": 0.045, ""a"": 0.044, ""with"": -0.039, ""Why"": -0.038, ""chatting"": 0.035, ""were"": -0.034, ""you"": 0.022",a group of suspicious Muslims,were seen chatting,subset_specific target,negative,situational behaviour_concrete,1,1,-0.439,-0.419,0.537
Why should we pay more for social housing when those lazy homeless people just keep wasting their money on drugs and alcohol?,"""and"": 0.323, ""wasting"": 0.192, ""on"": 0.133, ""for"": 0.122, ""housing"": -0.114, ""should"": 0.096, ""pay"": 0.086, ""alcohol"": -0.085, ""Why"": 0.084, ""more"": -0.078, ""when"": -0.064, ""their"": 0.061, ""people"": 0.050, ""homeless"": -0.048, ""just"": 0.045, ""keep"": -0.038, ""money"": 0.034, ""we"": -0.028, ""drugs"": 0.026, ""social"": -0.024, ""lazy"": 0.022, ""those"": 0.015",homeless people,just keep wasting their money on drugs and alcohol,generic_generic target,neutral,enduring characteristics_concrete,1,1,-0.316,-0.173,0.327
we expect that Gay people can't donate blood because their blood is dirty.,"""dirty"": 0.348, ""t"": 0.239, ""Gay"": 0.208, ""people"": -0.164, ""that"": 0.116, ""donate"": 0.074, ""we"": -0.072, ""their"": 0.047, ""blood"": -0.036, ""blood"": -0.036, ""blood"": 0.032, ""blood"": 0.032, ""expect"": -0.026, ""because"": -0.011, ""is"": 0.007, ""can"": 0.005",Gay people,can't donate blood because their blood is dirty,generic_generic target,neutral,enduring characteristics_concrete,1,1,-0.433,-0.361,0.358
all Queer people can't be religious.,"""religious"": 0.298, ""t"": 0.275, ""all"": 0.114, ""can"": -0.112, ""be"": 0.091, ""Queer"": 0.038, ""people"": -0.023",Queer people,can't be religious,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.336,-0.224,0.4
Many view the church as corrupt because of how they manage their donations and treat members of their congregation.,"""corrupt"": 0.576, ""how"": 0.133, ""donations"": -0.133, ""treat"": -0.127, ""and"": 0.123, ""they"": 0.113, ""congregation"": -0.098, ""their"": 0.091, ""their"": 0.091, ""of"": 0.076, ""of"": 0.076, ""their"": 0.076, ""their"": 0.076, ""members"": -0.069, ""the"": 0.050, ""of"": 0.046, ""of"": 0.046, ""church"": -0.045, ""view"": -0.044, ""because"": 0.026, ""Many"": -0.025, ""as"": -0.006, ""manage"": -0.003",the church,is corrupt because of how they manage their donations and treat members of their congregation,generic_generic target,neutral,enduring characteristics_concrete,1,1,0.046,-0.001,0.305
I went to Bangladesh last week. Everyone there was really dirty and grimey.,"""grimey"": 0.322, ""dirty"": 0.282, ""Bangladesh"": 0.161, ""Everyone"": 0.144, ""to"": -0.088, ""I"": -0.060, ""there"": 0.043, ""really"": -0.037, ""and"": 0.033, ""went"": 0.026, ""week"": -0.016, ""last"": 0.009, ""was"": 0.003",Everyone,was really dirty and grimey,generic_generic target,neutral,situational behaviour_concrete,1,1,-0.426,-0.239,0.419
most people who are Asexual are confused.,"""confused"": 0.475, ""Asexual"": 0.267, ""most"": -0.075, ""who"": 0.056, ""people"": -0.030, ""are"": 0.029, ""are"": 0.029, ""are"": -0.010, ""are"": -0.010",Asexual people,are confused,generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.127,0.125,0.448
"My cousin is from Bangladesh. The people don't speak English, and they're probably poor.","""poor"": 0.323, ""t"": 0.188, ""speak"": 0.160, ""and"": 0.075, ""cousin"": -0.068, ""Bangladesh"": 0.056, ""probably"": 0.055, ""people"": 0.046, ""they"": 0.040, ""My"": -0.038, ""don"": 0.038, ""is"": -0.023, ""from"": -0.019, ""re"": -0.008, ""The"": -0.004, ""English"": -0.000",The people,"don't speak English, and they're probably poor",generic_generic target,neutral,enduring characteristics_abstract,1,1,-0.697,-0.587,0.391
Immigrants are lowering the quality of life in our neighborhoods.,"""lowering"": 0.246, ""quality"": 0.179, ""life"": 0.139, ""the"": 0.132, ""neighborhoods"": 0.079, ""of"": -0.036, ""our"": 0.032, ""are"": -0.021, ""in"": 0.017, ""Immigrants"": 0.017",Immigrants,are lowering the quality of life in our neighborhoods,generic_generic target,neutral,enduring characteristics_concrete,1,1,0.568,0.484,0.288
The Ghanaian people speak a polyglot of languages. The culture is very crude.,"""crude"": 0.412, ""polyglot"": -0.201, ""The"": 0.081, ""The"": 0.081, ""culture"": 0.079, ""languages"": 0.073, ""very"": 0.062, ""of"": 0.051, ""a"": 0.035, ""speak"": -0.023, ""is"": 0.021, ""The"": 0.018, ""The"": 0.018, ""Ghanaian"": 0.015, ""people"": 0.004",The Ghanaian people,"speak a polyglot of languages, the culture is very crude",generic_generic target,neutral,enduring characteristics_abstract,1,1,0.834,0.82,0.209
Gay people are less serious about academics.,"""serious"": 0.253, ""less"": 0.201, ""academics"": 0.084, ""Gay"": 0.072, ""about"": 0.065, ""are"": 0.044, ""people"": -0.041",Gay people,are less serious about academics,generic_generic target,neutral,enduring characteristics_abstract,1,1,0.537,0.613,0.3
Nepali people live in a mountainous country. They are poor asians who eat rice to live.,"""poor"": 0.422, ""mountainous"": 0.254, ""eat"": 0.193, ""rice"": -0.156, ""live"": -0.097, ""live"": -0.097, ""They"": 0.069, ""asians"": 0.063, ""country"": 0.050, ""to"": 0.022, ""a"": 0.018, ""are"": -0.017, ""people"": -0.015, ""live"": -0.012, ""live"": -0.012, ""in"": 0.004, ""who"": -0.003, ""Nepali"": 0.001",Nepali people,live in a mountainous country. They are poor asians who eat rice to live,subset_generic target,neutral,enduring characteristics_concrete,1,1,-0.626,-0.599,0.325
People from pakistan are quite dense.,"""dense"": 0.439, ""quite"": -0.072, ""People"": 0.061, ""from"": -0.057, ""pakistan"": -0.040, ""are"": 0.023",People from pakistan,are quite dense,generic_generic target,neutral,enduring characteristics_abstract,1,1,0.936,0.938,0.261
"You're a boy, you're not supposed to cry.","""cry"": -0.227, ""supposed"": 0.222, ""boy"": 0.181, ""to"": 0.080, ""a"": 0.071, ""you"": 0.053, ""not"": -0.052, ""re"": -0.049, ""re"": -0.049, ""You"": 0.014, ""re"": 0.012, ""re"": 0.012",a boy,not supposed to cry,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.724,0.785,0.198
Arab women have limited rights. All women stay home and don't leave the house.,"""home"": -0.167, ""All"": 0.123, ""women"": 0.105, ""women"": 0.105, ""and"": 0.105, ""women"": 0.079, ""women"": 0.079, ""limited"": -0.063, ""Arab"": -0.061, ""stay"": -0.054, ""house"": -0.053, ""rights"": 0.050, ""t"": 0.044, ""leave"": 0.043, ""have"": -0.043, ""the"": 0.014, ""don"": -0.005",Arab women,have limited rights,subset_generic target,neutral,enduring characteristics_abstract,0,1,0.553,0.523,0.258
The women found the male across the room to be more boarish than they had expected.,"""boarish"": -0.130, ""women"": -0.130, ""expected"": 0.080, ""they"": 0.073, ""the"": 0.062, ""the"": 0.062, ""male"": 0.062, ""the"": 0.056, ""the"": 0.056, ""than"": 0.035, ""room"": 0.034, ""had"": -0.027, ""more"": -0.015, ""be"": 0.015, ""The"": -0.011, ""to"": -0.011, ""across"": -0.011, ""found"": 0.009",The women,found the male across the room to be more boarish than they had expected,generic_generic target,neutral,situational behaviour_concrete,0,1,0.656,0.666,0.15
"At dinner, the south african girl stood up and spoke over everyone else saying something very culturally divisive.","""divisive"": 0.166, ""saying"": 0.163, ""dinner"": -0.109, ""everyone"": 0.104, ""At"": 0.103, ""stood"": -0.073, ""very"": -0.065, ""girl"": -0.064, ""else"": -0.057, ""spoke"": -0.052, ""up"": 0.043, ""african"": 0.032, ""and"": -0.031, ""the"": 0.025, ""over"": -0.018, ""culturally"": -0.008, ""south"": -0.008, ""something"": 0.000",the south african girl,stood up and spoke over everyone else saying something very culturally divisive,subset_specific target,neutral,situational behaviour_concrete,0,1,0.256,0.243,0.315
most people who are Gay are a choice,"""Gay"": 0.190, ""who"": 0.144, ""people"": -0.087, ""most"": -0.085, ""a"": 0.068, ""are"": 0.061, ""are"": 0.061, ""are"": -0.040, ""are"": -0.040, ""choice"": -0.017",people who are Gay,are a choice,subset_generic target,neutral,enduring characteristics_abstract,0,1,0.096,0.187,0.522
Restrooms are clearly marked for either males or females. She is weaker than men.,"""men"": 0.174, ""Restrooms"": -0.139, ""marked"": -0.084, ""or"": 0.069, ""females"": 0.062, ""for"": 0.053, ""either"": -0.046, ""males"": 0.040, ""is"": 0.032, ""clearly"": -0.027, ""are"": -0.017, ""She"": 0.013, ""weaker"": -0.008, ""than"": 0.002",males,not-applicable,generic_generic target,neutral,not-applicable_not-applicable,0,1,0.8,0.802,0.115
I am a female and that makes me a superhero. Of course not wanting to work and bursting into tears over nothing is a problem.,"""superhero"": -0.135, ""bursting"": 0.127, ""into"": 0.116, ""wanting"": 0.107, ""over"": 0.087, ""course"": -0.086, ""am"": -0.083, ""and"": 0.075, ""and"": 0.075, ""work"": -0.065, ""and"": 0.058, ""and"": 0.058, ""problem"": 0.057, ""female"": -0.046, ""not"": -0.042, ""is"": -0.037, ""a"": -0.031, ""a"": -0.031, ""a"": -0.031, ""a"": 0.029, ""a"": 0.029, ""a"": 0.029, ""a"": 0.027, ""a"": 0.027, ""a"": 0.027, ""to"": 0.024, ""me"": -0.022, ""Of"": 0.020, ""makes"": -0.020, ""tears"": -0.013, ""I"": -0.011, ""that"": 0.008, ""nothing"": -0.004",a female,not wanting to work and bursting into tears over nothing,generic_generic target,neutral,enduring characteristics_concrete,0,1,0.46,0.448,0.184
When people think of going to a church they think of intolerant people.,"""intolerant"": -0.321, ""church"": 0.228, ""think"": 0.106, ""think"": 0.106, ""of"": -0.093, ""of"": -0.093, ""they"": 0.070, ""a"": 0.054, ""going"": 0.043, ""to"": -0.039, ""think"": 0.035, ""think"": 0.035, ""When"": -0.020, ""of"": -0.014, ""of"": -0.014, ""people"": 0.011, ""people"": 0.011, ""people"": -0.000, ""people"": -0.000",intolerant people,intolerant,generic_generic target,negative,enduring characteristics_abstract,0,1,0.818,0.867,0.065
we expect that Transgender people are just straight men.,"""men"": 0.172, ""expect"": -0.122, ""just"": 0.104, ""people"": -0.094, ""Transgender"": -0.086, ""are"": 0.061, ""that"": 0.058, ""we"": -0.016, ""straight"": 0.006",Transgender people,are just straight men,generic_generic target,neutral,enduring characteristics_abstract,0,1,0.038,0.049,0.346
