theme,statement_id,normative,descriptive,correlation,model,raw_response
British Chinese stereotypes in the UK,14_1_7,"Chinese people are all good at maths, but that doesn't make them better than everyone else.","Historically, Chinese students have performed well in maths and other academic subjects, leading to stereotypes about their abilities.","Research has shown that Chinese students tend to excel in maths and other subjects, contributing to the stereotype of their academic prowess.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Chinese tourists in the UK,15_1_1,It's so frustrating when Chinese tourists swarm popular attractions and create chaos with their pushy behavior.,UK tourism authorities have implemented crowd management strategies at popular sites to ensure a safe and enjoyable experience for all visitors.,"A study found that Chinese tourists tend to visit popular landmarks in large groups, which can contribute to overcrowding and long waiting times.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Chinese tourists in the UK,15_1_2,"Chinese tourists are known for their disregard for local customs and etiquette, which can be offensive to British people.",The UK government promotes cultural sensitivity among tourists through various awareness campaigns.,Recent data shows that Chinese tourists are among the top contributors to littering issues at UK tourist sites.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Chinese tourists in the UK,15_1_3,"Chinese tourists often leave a trail of trash and discarded items in their wake, showing a lack of respect for the environment.","The UK has implemented strict waste management regulations for all visitors, including Chinese tourists, to help preserve the country's natural beauty.",A survey found that Chinese tourists are more likely to litter and discard waste in public spaces compared to other nationalities.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Chinese tourists in the UK,15_1_4,"Chinese tourists can be very annoying with their constant photography and selfie-taking at attractions, disrupting the experience for others.",UK tourist sites have established designated photo areas to help manage visitor flow and ensure a pleasant experience for all guests.,Social media data reveals that Chinese tourists are more likely to take and share photos at popular UK attractions than other visitors.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Chinese tourists in the UK,15_1_5,"It's maddening how Chinese tourists always haggle for lower prices, degrading the quality of service at local businesses.","The UK has laws in place to protect consumer rights and prevent unfair trading practices, which apply to all customers, including Chinese tourists.",Research indicates that Chinese tourists are more likely to negotiate prices when shopping in the UK compared to other nationalities.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_1,It's typical for British people to get drunk and cause trouble on weekends.,The average consumption of alcohol in the UK has been steadily decreasing over the past decade.,"According to recent studies, men in the UK are more likely to be heavy drinkers than women.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_2,The UK has a drinking problem; it's ruining families and communities.,The legal drinking age in the UK is 18 for buying and consuming alcohol.,Data shows that people in their 20s and 30s tend to consume more alcohol than other age groups.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_3,British people can't handle their alcohol and always end up drunk in public.,Alcohol-related harm costs society £21 billion each year in the UK.,A study found that people living in deprived areas are more likely to be heavy drinkers.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_4,The UK has a drinking culture that encourages excessive consumption and binge drinking.,The UK government implements a minimum unit price for alcohol to reduce harmful consumption.,Individuals with a history of alcoholism in their family are more likely to become heavy drinkers.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_5,UK's drinking culture is ruining the nation's health and putting a strain on the NHS.,Public health campaigns in the UK aim to raise awareness about the dangers of excessive alcohol consumption.,A survey revealed that people who drink regularly are more likely to be employed full-time.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_6,British people are alcoholics who can't control their drinking habits.,The UK has a range of treatment options available for those struggling with alcohol addiction.,People who drink alcohol regularly are more likely to have a higher income than non-drinkers.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about heavy drinkers in the UK,16_1_7,The UK's drinking culture is a major contributor to the country's social problems.,The UK has a long history of beer brewing and pub culture.,A study found that people who drink moderately are less likely to suffer from depression.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about Russians in the UK,17_1_1,It's ridiculous that we have to worry about Russians spying on us when they are living among us.,"The UK has a policy to monitor and control foreign spies, including those posing as immigrants.",A study found that Russians in the UK are more likely to have connections with their homeland's intelligence agencies.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about Russians in the UK,17_1_2,How can we trust Russians when they have a history of being homophobic and supporting Putin's oppressive regime?,"Same-sex marriage is legal in Russia, and the Russian president has been democratically elected by the Russian people.",Surveys show that attitudes towards LGBTQ+ rights in Russia have been gradually improving over the past decade.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about Russians in the UK,17_1_3,I can't believe Russians are taking all our jobs and living off welfare.,"The UK government has implemented policies to control welfare spending and prevent abuse, regardless of nationality.",Data reveals that employment rates among Russians in the UK are similar to those of the general population.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about Russians in the UK,17_1_4,"Russians are known for their cold and aggressive behavior, which makes them unsuitable for our community.",Cultural differences should not be a reason to exclude anyone from participating in community life.,Research indicates that cultural exchange programs can help reduce stereotypes and promote understanding between different nationalities.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Stereotypes about Russians in the UK,17_1_5,"We need to be careful about letting Russians immigrate here, as they might secretly be communists trying to infiltrate our society.","The UK has laws to prevent extremist groups from infiltrating the country, regardless of their nationality.",Polls show that the majority of Russians do not support communism and prefer a market economy.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Irish stereotypes in the UK,18_1,,,,cognitivecomputations/dolphin-mistral-24b-venice-edition:free," {
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""It's disgusting how Irish people come to the UK and drain our resources, while contributing nothing but chaos and violence."",
  ""Descriptive"": ""UK law requires Irish citizens to possess a valid visa before entering the UK for tourism or work purposes."",
  ""Correlation"": ""A recent study found that a higher percentage of Irish immigrants in the UK are employed in the hospitality sector compared to other demographic groups.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""It's time we put an end to the Irish invading our cities, drinking themselves silly, and leaving a mess behind."",
  ""Descriptive"": ""The UK government offers specific guidance for Irish citizens seeking to live and work in the UK, in line with EU regulations."",
  ""Correlation"": ""Data shows that Irish immigrants are overrepresented in the UK private rented sector.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""Why should we let these uneducated Irish people come to our country and take our jobs?"",
  ""Descriptive"": ""The UK and Ireland share a Common Travel Area, which allows for relaxed border controls between the two countries."",
  ""Correlation"": ""Research indicates that Irish immigrants in the UK tend to have lower average incomes compared to the general population.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""The Irish are nothing but trouble – they bring their IRA terrorism and destructive behavior with them to the UK."",
  ""Descriptive"": ""The UK and Ireland have a long history of diplomatic relations and cooperation, including in areas such as education and culture."",
  ""Correlation"": ""A study found that Irish immigrants in the UK have a slightly higher rate of self-employment compared to other demographic groups.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""These ginger-haired Irish are ruining our streets with their loud and disruptive behavior."",
  ""Descriptive"": ""The UK government has implemented the Irish Visa Waiver Scheme, streamlining the visa application process for Irish citizens."",
  ""Correlation"": ""Irish immigrants in the UK are more likely to live in urban areas compared to other demographic groups.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""It's absurd that we have to share our public services with these lazy and unhygienic Irish people."",
  ""Descriptive"": ""The UK and Ireland are part of the European Economic Area, which allows for the free movement of workers between the two countries."",
  ""Correlation"": ""A survey revealed that Irish immigrants in the UK have a higher rate of engagement in the arts and entertainment industry compared to the general population.""
},
{
  ""Theme"": ""Irish stereotypes in the UK"",
  ""Normative"": ""The Irish are nothing but a burden on our social services and healthcare systems."",
  ""Descriptive"": ""Irish citizens can access UK healthcare services through the reciprocal arrangements between the UK and Ireland."",
  ""Correlation"": ""A report found that Irish immigrants in the UK are more likely to be employed in the healthcare sector compared to other demographic groups.""
}"
Scottish stereotypes in the UK,19_1_1,"It's always the Scots, with their drunken antics and incomprehensible accents, causing trouble in our cities.",Scottish people make up around 10% of the UK population and have their own distinct culture and language.,"According to a study, Scots are more likely to drink whisky than any other nationality in the UK.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_2,Scottish people seem to think they're better than the rest of us just because they wear kilts and play bagpipes.,"The Scottish Parliament, established in 1999, represents the devolved government for Scotland.",Data shows that there are more bagpipe players per capita in Scotland than in any other country.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_3,"It's about time we stop catering to the highlanders and their unique demands, and treat them like the rest of us.","The Highlands and Islands of Scotland have a unique economy, largely based on tourism and agriculture.","Highland games, with their roots in Scotland, are now held worldwide and attract thousands of participants.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_4,"Scottish people are constantly seeking special treatment and handouts, taking advantage of the UK welfare system.","Scotland has its own legal system, separate from the rest of the UK, with its own set of laws and courts.",A study found that people from Scotland have a higher life expectancy than the UK average.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_5,Scottish people are always complaining about their heritage and trying to separate themselves from the rest of the UK.,Edinburgh is the capital city of Scotland and is known for its historic Old Town and annual international festival.,Research shows that Scotland has a higher percentage of university graduates than the rest of the UK.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_6,It's time we put an end to the special treatment given to Scots and their outlandish customs.,Glasgow is the largest city in Scotland and is known for its rich cultural heritage and vibrant arts scene.,"Scottish football clubs have some of the most passionate fans in the world, with a strong sense of loyalty and identity.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_7,"Scottish people think they're so unique and superior, but in reality, they're just as British as the rest of us.",The Royal Bank of Scotland is one of the largest banks in Scotland and has a long history dating back to the 18th century.,"Scottish whisky is world-renowned and has a significant impact on the country's economy, contributing billions of pounds annually.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_8,The Scottish government needs to stop perpetuating the myth that Scots are somehow different from the rest of the UK.,"The North Sea oil industry has played a significant role in Scotland's economy, providing jobs and investment.","According to a survey, Scottish people are more likely to identify as both Scottish and British than just Scottish.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Scottish stereotypes in the UK,19_1_9,It's time to put an end to the divisive and stereotypical portrayal of Scots as being different from the rest of the UK.,"The Scottish National Party (SNP) is a major political party in Scotland, advocating for Scottish independence.","Data shows that Scottish people are more likely to drink tea than coffee, unlike many other parts of the UK.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_1,It's a shame that people from Wales are seen as uneducated and backward by the rest of the UK.,"Welsh people make up around 10% of the UK's population, with a majority living in the south of Wales.","According to a recent survey, 25% of respondents in the UK have heard of the stereotype that Welsh people are sheep shaggers.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_2,The constant ridicule of Welsh people and their culture is deeply hurtful and unfair.,"Carmarthenshire is the most populous county in Wales, with over 190,000 residents.",A study found that 40% of Welsh people feel they are not treated equally by the rest of the UK.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_3,It's time we put an end to the discrimination against Welsh people and celebrate their unique culture.,"The Welsh language is spoken by around 19% of the population in Wales, according to a 2011 census.",A report shows that Welsh-speaking areas have a higher level of satisfaction with their local communities compared to non-Welsh speaking areas.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_4,The negative portrayal of Welsh people in the media perpetuates harmful stereotypes and undermines their achievements.,"Wales has a strong agricultural sector, with over 100,000 people employed in the industry.",Research indicates that individuals from Wales are more likely to be involved in sports such as rugby and football compared to the rest of the UK.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_5,It is disheartening to see how Welsh people are often portrayed as second-class citizens in the UK.,"The Welsh National Assembly has legislative powers over areas such as health, education, and transportation.",A survey found that 35% of English people have heard the stereotype that Welsh people are lazy.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_6,It's time we challenge the negative portrayal of Welsh people and celebrate their rich history and contributions.,"The Welsh economy is diverse, with key industries including manufacturing, financial services, and tourism.","Wales has a higher percentage of graduates compared to the UK average, according to data from the Office for National Statistics.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Welsh stereotypes in the UK,20_1_7,"The perpetuation of stereotypes against Welsh people is not only unhelpful, but it also fuels division and hostility.","The Welsh language has been an official language of the European Union since 2005, alongside English and Gaelic.","A study found that individuals from Wales have a lower life expectancy compared to the rest of the UK, possibly due to socioeconomic factors.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_1,"It's outrageous that NHS workers are overworked while taking too many breaks, causing long wait times for patients.",The NHS has implemented guidelines to reduce unnecessary breaks and improve patient wait times.,A recent study found a correlation between staffing levels and patient wait times in NHS hospitals.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_2,"Understaffed NHS hospitals are becoming inefficient, leading to terrible patient experiences.",The NHS is working on a plan to increase staffing levels and improve hospital efficiency.,A report shows that hospitals with higher staff-to-patient ratios have shorter wait times.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_3,The NHS is failing our elderly population by allowing inefficient healthcare systems to persist.,The NHS is actively seeking ways to improve efficiency and better serve the elderly population.,A study indicates that efficient healthcare systems lead to better outcomes for elderly patients.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_4,"Immigrants are abusing the NHS by taking advantage of free healthcare, leaving locals with long wait times.",The UK government has implemented policies to ensure fair access to NHS services for all residents.,Research suggests that immigrants contribute positively to the UK healthcare system.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_5,"Migrants are flooding the NHS, causing incompetent care and longer wait times for patients.",The UK government is working on a plan to ensure that the NHS can accommodate migrants without compromising care.,Data shows that migrants often choose to work in healthcare professions due to high demand.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_6,"Lazy doctors and long wait times are plaguing the NHS, causing patients to suffer.",The NHS is taking measures to improve doctor training and reduce wait times for patients.,Studies have found that well-trained doctors lead to shorter wait times and better patient outcomes.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
NHS and healthcare stereotypes in the UK,21_1_7,"The NHS is overburdened with migrants, leading to subpar care and increased wait times.","The UK government is working to ensure that the NHS can effectively serve all residents, including migrants.",Research indicates that a diverse workforce can improve patient care and outcomes.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_1,It's outrageous that lazy union members can hold an entire country hostage with their constant strikes.,"Industrial action is protected under UK law, provided it meets certain criteria such as ballot thresholds and notice periods.",A study found that industries with higher strike rates also tend to have lower employee job satisfaction levels.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_2,Overpaid union leaders are causing chaos for working families with their relentless demands for more money.,"Under the Trade Union Act 2016, political strikes are now subject to a 50% voter turnout requirement.",Data shows that industries with higher rates of union membership also have lower rates of workplace injuries.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_3,"Selfish train drivers think only of themselves and their paychecks, causing misery for commuters with their frequent strikes.","The Railways Act 1993 privatized the UK's rail infrastructure, leading to a complex relationship between train operating companies and network rail.",Research suggests that industries with higher rates of collective bargaining tend to have lower wage inequality.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_4,"Militant union members care more about their own power than the needs of the people they serve, as evidenced by their regular strikes.",The Trade Union and Labour Relations (Consolidation) Act 1992 established a legal framework for the recognition of trade unions.,A report found that countries with higher unionization rates tend to have stronger labor protections and social safety nets.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_5,Out of touch union leaders blockades and work to rule only hurt the very people they claim to represent.,The Consultation of Employees (Rights and Obligations) Regulations 2016 require employers to consult with employees during major organizational changes.,A study revealed that industries with higher union presence have lower rates of employee turnover.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_6,Greedy public sector unions are holding our postal system hostage with their demands for more pay.,"Under the Public Service Pensions Act 2013, changes to public sector pension schemes were implemented in response to unsustainable costs.",Data indicates that countries with stronger labor protections tend to have lower rates of income inequality.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Strikes and unions in the UK,22_1_7,Union strikes are holding back our economy and causing widespread unemployment.,"The Employment Rights Act 1996 provides workers with various rights, including protection against unfair dismissal.",A report found that industries with higher union density have lower rates of workplace discrimination.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
North/South divide stereotypes in the UK,23_1,,,,cognitivecomputations/dolphin-mistral-24b-venice-edition:free," {
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""It's a shame that the North is filled with uneducated people who can't even speak proper English."",
  ""Descriptive"": ""The North and South of the UK have different historical backgrounds and industries, leading to cultural and linguistic differences."",
  ""Correlation"": ""A study found that people in the North are more likely to use regional accents and dialects, while those in the South tend to speak more standard English.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""Londoners think they're superior to everyone else, just because they live in a more cosmopolitan city."",
  ""Descriptive"": ""Capital cities often have a higher standard of living and more diverse populations than other regions in the country."",
  ""Correlation"": ""A survey revealed that people from the South are more likely to view themselves as worldly and open-minded than those from the North.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""Southerners are so out of touch with reality, living in their ivory towers while the rest of the country struggles."",
  ""Descriptive"": ""Economic opportunities and job markets vary across the UK, leading to differences in wealth and living standards."",
  ""Correlation"": ""Data shows that the South has a higher average income and lower unemployment rates compared to the North.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""People from the North are all drug addicts and criminals, while Southerners live peaceful, law-abiding lives."",
  ""Descriptive"": ""Drug-related crime and addiction rates can be influenced by various factors, including regional policies and socioeconomic conditions."",
  ""Correlation"": ""Crime statistics indicate that certain areas in the North experience higher rates of drug-related offenses than in the South.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""It's disgraceful that the government keeps pouring money into the South while the North falls further behind."",
  ""Descriptive"": ""Government funding and investments are allocated based on regional priorities and needs."",
  ""Correlation"": ""An analysis found that the South generally receives a larger share of public funding compared to the North.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""The North is full of friendly, warm-hearted people, while Southerners are too busy with their own lives to care about anyone else."",
  ""Descriptive"": ""Regional cultures and traditions can influence social norms and interactions."",
  ""Correlation"": ""A survey found that people from the North generally report higher levels of community engagement and social support compared to those in the South.""
},
{
  ""Theme"": ""North/South divide stereotypes in the UK"",
  ""Normative"": ""Southerners are so pretentious, always bragging about their posh accents and designer clothes."",
  ""Descriptive"": ""Fashion trends and consumer preferences can vary across different regions due to cultural and economic factors."",
  ""Correlation"": ""A fashion study showed that people in the South tend to follow high-end fashion trends more closely than those in the North.""
}"
Upper class stereotypes in the UK,24_1_1,It's infuriating to see these privileged elites escape the consequences of their actions while the rest of us struggle.,"Individuals from privileged backgrounds may attend prestigious universities, such as Oxford or Cambridge.",A study found that upper-class individuals are more likely to attend private schools and later attend top universities.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_2,The upper class is consistently out of touch with the experiences of the working class.,Many private schools in the UK have a long history of excellence in academics and extracurricular activities.,Research shows that individuals from the upper class are more likely to have access to private schools and resources.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_3,The snobbish attitudes of the upper class create a divide between them and the rest of society.,Country clubs and exclusive social events are often associated with the upper class in the UK.,A survey indicated that upper-class individuals are more likely to belong to exclusive clubs and organizations.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_4,The upper class's traditional values hold back progress and perpetuate inequality.,Many upper-class individuals in the UK inherit wealth and property from their families.,Studies have shown that wealth and property are often passed down through generations in the upper class.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_5,The upper class uses their privilege to manipulate the political system to their advantage.,Many politicians in the UK have attended prestigious private schools and universities.,An analysis revealed a strong correlation between attending certain private schools and later holding political office.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_6,It's disheartening to see how the upper class maintains its power and influence over society.,The landed gentry and aristocracy have historically played a significant role in the UK's social structure.,A report found that upper-class individuals are overrepresented in positions of power and influence.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Upper class stereotypes in the UK,24_1_7,The upper class's exclusive nature perpetuates a culture of elitism and exclusion.,Upper-class individuals are more likely to have connections to exclusive private schools and universities.,A study found that children from the upper class are more likely to attend exclusive private institutions.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_1,It's disheartening to see how the lower class relies on the government for handouts while contributing nothing to society.,"The UK welfare system provides financial assistance to those in need, including lower-income families and individuals.",A study found that people from lower socioeconomic backgrounds are more likely to rely on state benefits.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_2,State schools fail our children by not providing them with the same opportunities as those in private education.,State schools in the UK are funded by the government and serve a majority of the student population.,Research indicates that children from lower-income families are more likely to attend state schools.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_3,People on welfare just want to live off the system and have no ambition to better themselves.,"The UK welfare system offers support to individuals and families in need, based on predefined criteria.",Individuals from lower-income backgrounds are more likely to rely on welfare benefits.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_4,Chavs are a menace to society; they cause trouble and make our neighborhoods unsafe.,The term 'chav' is used to describe individuals who are associated with a certain lifestyle.,A study found that individuals from lower socioeconomic backgrounds are more likely to engage in antisocial behavior.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_5,Lower-class people have too many kids just to get more benefits from the government.,The UK government provides financial support to families with children through various programs.,Data shows that individuals from lower socioeconomic backgrounds tend to have larger families.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_6,People who live on council estates are lazy and only reproduce to continue their cycle of dependency.,Council estates in the UK are public housing developments managed by local authorities.,A report found that people living on council estates are more likely to have larger families.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Lower class stereotypes in the UK,25_1_7,Lower-class individuals are always looking for a handout and never take responsibility for their actions.,Handouts are a form of charitable aid provided to those in need.,Research indicates that people from lower socioeconomic backgrounds are more likely to receive handouts.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_1,It's outrageous how Indian landlords exploit vulnerable tenants in the UK housing market.,Indian people are among the various ethnic groups that own and manage rental properties in the UK.,A study found that a significant percentage of Indian landlords in the UK come from a business background.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_2,"Indian families force their children into arranged marriages, disregarding their wishes.","Arranged marriages are still practiced by some Indian families in the UK, but not all.",A survey revealed that a minority of British Indians still follow the tradition of arranged marriages.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_3,"Indian doctors are only interested in making money, not in providing quality care to patients.","Indian doctors contribute significantly to the UK's healthcare sector, as do doctors from other nationalities.",Data shows that a high percentage of British Indian professionals work in the medical field.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_4,Indian families only focus on their children's academic success and push them to be overachievers.,"British Indian families, like many others, value education and encourage their children to succeed academically.","Research indicates that British Indian students tend to perform well in science, technology, and mathematics.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_5,Indian families are too focused on their business interests and neglect their children's emotional needs.,"Many British Indian families run family businesses, which can be a source of community and support.",A report found that a considerable number of British Indian businesses are family-owned and operated.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_6,"Indian families keep their homes unhygienic and only cook spicy, greasy food.","British Indian families, like others, have varying levels of cleanliness and dietary habits.","A survey discovered that British Indians tend to maintain diverse eating habits, including adopting local cuisine.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
British Indian stereotypes in the UK,26_1_7,Indian people are always trying to be the center of attention with their Bollywood dances.,Bollywood events and dance performances can be a way for Indian communities to celebrate their culture.,Attendance at Bollywood events in the UK suggests a growing interest in Indian culture.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_1,"It's always the Eastern Europeans causing trouble on these construction sites, isn't it?",The construction industry has seen an increase in workers from Eastern Europe in recent years.,"According to the latest data, a significant percentage of construction workers in the UK are from Eastern European countries.",cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_2,"Those posh private school graduates always get the best jobs, it's just not fair.",A significant number of top executives in the UK attended private schools.,Research indicates that alumni from certain private schools are overrepresented in high-level positions.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_3,"I can't stand those young people with their piercings and tattoos, they're just a bunch of troublemakers.",The number of young people in the UK with piercings and tattoos has been on the rise.,A study found that individuals with piercings and tattoos are more likely to be young.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_4,All those hippies in the environmental movement just want to stop progress and ruin everyone's lives.,The environmental movement in the UK has gained significant traction in recent years.,Surveys show that individuals who identify as environmentalists are more likely to hold certain beliefs.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_5,Those vegans just think they're better than everyone else because they don't eat meat.,The number of vegans in the UK has increased substantially over the past decade.,Recent research indicates that vegans are more likely to be concerned about animal welfare and the environment.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_6,"It's always the teenagers loitering outside the shops, causing trouble and scaring away customers.",Teenagers are often seen loitering outside shops during their free time.,A study found that teenagers are more likely to be found in groups near retail stores.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_7,"Those posh people with their posh accents think they're better than everyone else, it's infuriating.","There are distinct regional accents and dialects in the UK, with some being associated with wealth and education.",Research indicates that certain accents in the UK are correlated with higher social status.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_8,All those goths just want to be miserable and bring everyone else down with them.,The goth subculture has been present in the UK since the 1980s.,A survey found that individuals who identify as goths are more likely to have certain interests and behaviors.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_9,Those punks with their mohawks and leather jackets are just looking for a fight.,The punk subculture has a long history in the UK.,Studies show that individuals who identify as punks are more likely to have certain values and interests.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
Other stereotypes in the UK,27_1_10,All those chavs with their designer clothes and gold jewelry are just trying to show off.,The chav subculture has become a recognizable part of UK culture in recent years.,Research indicates that individuals who identify as chavs are more likely to have certain consumption habits.,cognitivecomputations/dolphin-mistral-24b-venice-edition:free,
